Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q10 (Summary - Net Less comfortable) - Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,With the police,3165,195,53,132,220,341,215,273,252,403,191,113,212,198,98,270,681,705,539,532,386,322,1386,1072,708,1769,432,291,280,393,972,1731,491,1240,427
,,0.2,0.19,0.05,0.12,0.2,0.32,0.21,0.25,0.25,0.4,0.19,0.11,0.18,0.19,0.1,0.26,0.26,0.21,0.18,0.2,0.19,0.17,0.23,0.19,0.18,0.18,0.25,0.27,0.18,0.24,0.25,0.18,0.21,0.17,0.22
,,,bckn,,b,bckn,abcdfghjklmno,bckn,abcdfjklmn,abcdfjklmn,abcdefghjklmno,bckn,b,bckn,bckn,b,abcdfjklmn,bcdefghi,cfhi,,,,,bcdefhi,,,,ad,ad,,ad,bcde,,bd,,bd
,Anonymously on social media,2243,129,67,95,199,241,199,85,135,263,87,121,220,136,55,210,466,490,381,354,292,259,956,735,551,1203,291,229,223,297,634,1270,347,924,310
,,0.14,0.13,0.07,0.09,0.18,0.23,0.2,0.08,0.13,0.26,0.09,0.12,0.19,0.13,0.05,0.2,0.18,0.14,0.13,0.13,0.14,0.14,0.16,0.13,0.14,0.12,0.17,0.21,0.14,0.18,0.16,0.13,0.15,0.12,0.16
