<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dSEG. SEG - set from Occupation question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2DE,714,306,407,70,82,99,124,130,210,21,56,78,28,66,37,56,63,72,119,70,48,52,45,36,44,43,32,25,20,0,714,587,58,33,26,10,49,665
,0.33,0.3,0.37,0.32,0.22,0.28,0.35,0.38,0.41,0.34,0.31,0.33,0.33,0.37,0.37,0.3,0.4,0.39,0.4,0.34,0.17,0.32,0.32,0.39,0.38,0.36,0.37,0.33,0.24,0,1,0.35,0.3,0.23,0.24,0.34,0.33,0.33
,,, a, b,,, b, bc, abc, l, l, l, l, l, l, l, gl, l, bgl, l,,,, h, h, h, h,,,, a, cd,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC1,1426,727,695,151,283,253,230,212,297,39,124,158,58,110,62,133,93,114,173,132,230,111,96,57,72,75,55,51,64,1426,0,1083,133,110,80,20,98,1327
,0.66,0.7,0.63,0.68,0.78,0.72,0.64,0.62,0.59,0.66,0.69,0.67,0.67,0.63,0.62,0.7,0.6,0.61,0.59,0.66,0.82,0.68,0.68,0.61,0.61,0.64,0.63,0.66,0.76,1,0,0.65,0.69,0.76,0.76,0.66,0.67,0.66
,, b,, f, adef, def,,,,, j,,,,, hj,,,,, abcdefghijk,,,,,,,, cdef, b,,,, a, a,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected PNS,7,3,4,2,0,1,3,2,0,0,1,1,0,0,1,0,0,1,2,0,1,0,1,0,1,0,0,1,0,0,0,4,2,1,0,0,1,6
,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0
,,,,,,, f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
