Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,
,Table 15,,,,,,,,,,
,"Q4b. Summary Table: To what extent do you feel equipped, if at all, to help your child/chilren aged 0 - 5, navigate the following?",,,,,,,,,,
,BASE: All those with children aged 0 - 5 who are concerned about each statement,,,,,,,,,,
,,,Q4b. Scale,,,,,,,,
,,Total,Very equipped,Somewhat equipped,Neither equipped nor unequipped,Somewhat unequipped,Not at all equipped,Don't know,NET: Equipped,NET: Unequipped,Mean score
,Learning development,542,114,280,92,41,11,4,395,52,3.83
,,,0.21,0.52,0.17,0.08,0.02,0.01,0.73,0.1,
,Diet or eating habits,512,117,255,85,41,10,4,372,51,3.84
,,,0.23,0.5,0.17,0.08,0.02,0.01,0.73,0.1,
,Emotional wellbeing and/or mental health issues,605,119,293,119,54,14,6,412,68,3.75
,,,0.2,0.48,0.2,0.09,0.02,0.01,0.68,0.11,
,Friendships groups,522,92,236,113,63,13,6,328,76,3.64
,,,0.18,0.45,0.22,0.12,0.02,0.01,0.63,0.14,
,Racism,427,88,168,100,45,18,8,256,63,3.63
,,,0.21,0.39,0.23,0.11,0.04,0.02,0.6,0.15,
,"Global issues such as climate change, war, or terrorism",480,80,150,127,70,44,9,231,114,3.32
,,,0.17,0.31,0.26,0.15,0.09,0.02,0.48,0.24,
,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,
