<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q5_4. Your mood: What impact, if any, did your experience of being defrauded have on the following:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A significant impact,813,369,441,131,189,152,141,104,96,29,73,94,32,65,39,78,66,54,99,66,119,77,59,41,37,44,33,32,35,537,271,559,95,92,53,13,77,736
,0.38,0.36,0.4,0.59,0.52,0.43,0.4,0.3,0.19,0.49,0.4,0.4,0.37,0.37,0.38,0.41,0.42,0.29,0.34,0.33,0.43,0.47,0.42,0.44,0.32,0.37,0.38,0.41,0.42,0.38,0.38,0.33,0.49,0.64,0.5,0.44,0.52,0.37
,,, a, cdef, cdef, ef, ef, f,, ijk, i, i,,,, i, i,,,, ijk, d,,,,,,,,,,, a, abde, a,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some impact,1162,576,585,73,149,172,193,214,361,25,93,126,48,100,56,95,83,120,166,120,131,71,73,46,74,67,46,39,43,778,381,978,82,42,45,15,60,1102
,0.54,0.56,0.53,0.33,0.41,0.49,0.54,0.62,0.71,0.42,0.51,0.53,0.56,0.57,0.55,0.5,0.53,0.64,0.56,0.59,0.47,0.44,0.52,0.5,0.63,0.57,0.53,0.51,0.52,0.55,0.53,0.58,0.42,0.29,0.43,0.5,0.4,0.55
,,,,, a, ab, ab, abcd, abcde,,,,, l,,,, abcghl, l, al,,,,, ac, a,,,,,, bcd, c,, c, c,, a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No impact,147,79,68,16,21,25,21,24,40,6,11,13,4,8,5,13,7,13,27,15,24,12,7,6,6,6,7,5,4,92,55,118,16,8,4,1,11,136
,0.07,0.08,0.06,0.07,0.06,0.07,0.06,0.07,0.08,0.09,0.06,0.06,0.05,0.05,0.05,0.07,0.05,0.07,0.09,0.07,0.09,0.07,0.05,0.07,0.05,0.05,0.08,0.07,0.05,0.06,0.08,0.07,0.08,0.06,0.04,0.03,0.08,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,17,11,6,4,2,3,1,0,7,0,2,3,1,3,1,2,0,0,1,1,3,2,3,0,0,1,0,1,1,13,4,14,0,1,2,1,0,17
,0.01,0.01,0,0.02,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0.02,0,0,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01,0.02,0.02,0,0.01
,,,, de,,,,, e,,,,,,,,,,,,,,,,,,,,,,,,,,, b,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not applicable,7,1,6,0,4,0,0,1,2,0,2,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,5,2,5,0,1,1,0,0,7
,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0.01,0,0,0
NETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Significant/ Some impact,1975,945,1025,204,338,324,334,318,457,55,166,219,80,165,95,173,149,173,265,186,250,148,133,87,111,111,79,71,78,1315,653,1537,178,133,99,29,137,1839
,0.92,0.91,0.93,0.91,0.93,0.92,0.94,0.93,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.91,0.95,0.93,0.9,0.92,0.89,0.91,0.93,0.93,0.95,0.94,0.91,0.92,0.93,0.92,0.91,0.92,0.92,0.93,0.93,0.94,0.92,0.92
,,,,,,,,,,,,,,,,, jl,,,,,,,,,,,,,,,,,,,,,
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
