<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q5_2. Your personal relationships: What impact, if any, did your experience of being defrauded have on the following:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A significant impact,202,98,103,39,55,45,30,19,15,5,13,15,15,15,6,19,15,14,19,14,51,18,14,11,8,9,2,5,5,149,52,133,19,26,23,1,16,187
,0.09,0.09,0.09,0.17,0.15,0.13,0.08,0.05,0.03,0.09,0.07,0.06,0.17,0.09,0.06,0.1,0.1,0.08,0.06,0.07,0.18,0.11,0.1,0.12,0.07,0.08,0.02,0.07,0.06,0.1,0.07,0.08,0.1,0.18,0.22,0.04,0.1,0.09
,,,, def, def, def, f,,,,,, bcefijk,,,,,,,, bcefghijk, f, f, f,,,,,, b,,,, abe, abe,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some impact,583,288,291,78,156,115,95,62,77,22,40,85,25,52,30,45,49,36,60,38,101,43,50,31,24,34,34,27,17,409,174,417,71,50,34,11,56,527
