<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q10_2. I have struggled with drug/illegal substances misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1335,655,676,169,294,251,230,179,212,35,123,191,46,110,79,105,102,99,168,84,193,88,116,62,64,70,73,64,61,892,439,976,143,124,75,17,117,1218
Total,1322,646,672,166,276,234,223,176,248,38,100,162,50,115,60,120,93,103,174,112,195,100,99,56,67,72,61,49,49,877,441,969,142,122,72,16,116,1205
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree (5.00),70,45,26,11,31,13,9,4,2,4,3,6,4,6,3,10,4,4,3,4,19,8,4,3,1,6,2,3,2,52,18,57,10,1,3,0,8,62
,0.05,0.07,0.04,0.07,0.11,0.06,0.04,0.02,0.01,0.11,0.03,0.04,0.09,0.05,0.05,0.08,0.05,0.04,0.02,0.03,0.1,0.08,0.04,0.05,0.01,0.08,0.03,0.06,0.03,0.06,0.04,0.06,0.07,0.01,0.04,0,0.07,0.05
,, b,, ef, cdef, f, f,,, j,,, j,,, j,,,,, bcj,,,,,,,,,,, c, c,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree (4.00),129,74,55,27,51,28,15,3,4,0,9,12,2,8,5,13,4,10,10,9,47,12,5,4,6,4,7,5,3,105,24,86,15,11,12,4,15,114
,0.1,0.11,0.08,0.16,0.19,0.12,0.07,0.02,0.02,0,0.09,0.08,0.04,0.07,0.07,0.11,0.05,0.09,0.06,0.08,0.24,0.12,0.05,0.08,0.09,0.05,0.12,0.09,0.07,0.12,0.05,0.09,0.1,0.09,0.17,0.23,0.13,0.09
,, b,, def, cdef, ef, ef,,,,,,,,, a,,,,, abcdefghijk,,,,,,,,, b,,,,, a,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neither agree nor disagree (3.00),108,58,50,21,33,26,14,7,8,2,7,15,3,12,4,7,6,8,7,5,31,7,11,4,6,8,4,4,2,78,30,63,20,14,9,3,17,91
,0.08,0.09,0.07,0.13,0.12,0.11,0.06,0.04,0.03,0.06,0.07,0.09,0.06,0.1,0.07,0.06,0.07,0.08,0.04,0.05,0.16,0.07,0.11,0.07,0.09,0.11,0.07,0.09,0.05,0.09,0.07,0.07,0.14,0.11,0.12,0.2,0.14,0.08
,,,, def, def, ef,,,,,, j,, j,,,,,,, bghjk,,,,,,,,,,,, a,,,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disagree (2.00),355,175,179,51,83,55,64,49,53,11,29,51,18,31,11,31,28,23,46,29,47,28,35,15,18,22,16,8,14,237,116,252,38,37,26,1,25,329
,0.27,0.27,0.27,0.3,0.3,0.24,0.29,0.28,0.21,0.29,0.29,0.32,0.36,0.27,0.18,0.25,0.3,0.22,0.27,0.26,0.24,0.28,0.36,0.27,0.27,0.3,0.26,0.17,0.28,0.27,0.26,0.26,0.27,0.31,0.36,0.06,0.22,0.27
,,,, f, f,,,,,,, f, f,,,,,,,,,, g,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly disagree (1.00),659,294,363,56,78,111,121,113,180,21,52,77,22,58,37,59,50,59,108,64,52,45,43,30,36,33,32,28,28,405,253,511,59,59,22,8,51,608
,0.5,0.45,0.54,0.34,0.28,0.48,0.54,0.64,0.73,0.55,0.52,0.48,0.45,0.51,0.62,0.49,0.54,0.57,0.62,0.57,0.27,0.45,0.44,0.53,0.54,0.46,0.53,0.58,0.58,0.46,0.57,0.53,0.42,0.48,0.31,0.51,0.44,0.5
,,, a,,, ab, ab, abcd, abcd, l, l, l, l, l, cl, l, l, l, cdgl, l,,,,,,,,,,, a, bd,, d,,,,
