Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,
,Table 15,,,,,,,,,
,"Q6. Summary Table: Compared with 10 years ago (i.e. 2012), is it generally easier or more difficult for women in your country to do each of the following?",,,,,,,,,
,"by Q6. Summary Table: Compared with 10 years ago (i.e. 2012), is it generally easier or more difficult for women in your country to do each of the following?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,Total,Much easier,Slightly easier,About the same,Slightly more difficult,Much more difficult,Don't know,NET: Easier,NET: More difficult
,Unweighted Total,0,0,0,0,0,0,0,0,0
,Access the contraception they want to use,15723,6826,4213,2508,999,564,613,11039,1563
,,,0.43,0.27,0.16,0.06,0.04,0.04,0.7,0.1
,Decide the contraception they want to use,15723,6410,4338,2714,1018,590,653,10748,1608
,,,0.41,0.28,0.17,0.06,0.04,0.04,0.68,0.1
,Discuss consent with a romantic partner (e.g. saying no in an intimate situation),15723,5004,4740,3262,1251,639,827,9745,1890
,,,0.32,0.3,0.21,0.08,0.04,0.05,0.62,0.12
,Discuss pregnancy termination with a doctor or other medical professional,15723,4858,4492,3061,1391,954,968,9350,2345
,,,0.31,0.29,0.19,0.09,0.06,0.06,0.59,0.15
,Discuss their sex life openly,15723,4316,5013,3048,1458,1198,691,9329,2655
,,,0.27,0.32,0.19,0.09,0.08,0.04,0.59,0.17
,Discuss pregnancy termination with a partner,15723,4304,4436,3534,1364,980,1105,8740,2344
,,,0.27,0.28,0.22,0.09,0.06,0.07,0.56,0.15
,Discuss pregnancy termination with friends,15723,3673,4343,3791,1521,1196,1199,8016,2717
,,,0.23,0.28,0.24,0.1,0.08,0.08,0.51,0.17
,Access medically safe abortions,15723,3782,4072,3294,1632,1570,1373,7854,3202
,,,0.24,0.26,0.21,0.1,0.1,0.09,0.5,0.2
,"Discuss pregnancy termination with a family member (e.g. parent, sibling)",15723,3031,4220,4028,1696,1648,1100,7251,3344
,,,0.19,0.27,0.26,0.11,0.1,0.07,0.46,0.21
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
