Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q7_W3.3. Providing welcoming communal spaces: Thinking about what would benefit your local community, which of the following areas related to the physical environment do you think are most important?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,1,593,278,309,95,111,97,89,105,96,206,186,201,220,372,140,218,118,64,53,358,235,295,295,491,14,50,23,14,359,227,138,100,503,70,400,176,455,131,335,103,137,95,187,374,203,378,194
,,0.07,0.06,0.07,0.08,0.07,0.07,0.06,0.08,0.05,0.08,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.05,0.06,0.07,0.06,0.06,0.08,0.06,0.08,0.07,0.07,0.09,0.06,0.07,0.08,0.06,0.06,0.1,0.07,0.06,0.07,0.05,0.08,0.07,0.08,0.07,0.06,0.07,0.06,0.08,0.05
,,,,,fi,fi,f,,fi,,fi,f,,,,d,dg,,,,dg,,,a,,,,,,,,a,,,a,b,,b,,e,e,e,e,,,,b,
,2,804,384,411,98,146,111,128,140,181,244,240,320,235,569,207,265,145,128,60,471,333,445,352,679,16,60,27,21,493,302,157,158,726,64,526,251,638,154,459,144,196,119,250,533,253,470,309
,,0.09,0.09,0.09,0.08,0.1,0.08,0.09,0.1,0.09,0.09,0.08,0.09,0.08,0.1,0.1,0.09,0.08,0.09,0.07,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.08,0.1,0.06,0.1,0.1,0.11,0.09,0.07,0.1,0.08,0.09,0.09
,,,,,,c,,,c,,,,,,a,ceg,,,,,,,,,,,,,,,,,,,,b,,b,,e,e,e,e,,b,,,
