<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q10_1. I have struggled with alcohol misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1335,655,676,169,294,251,230,179,212,35,123,191,46,110,79,105,102,99,168,84,193,88,116,62,64,70,73,64,61,892,439,976,143,124,75,17,117,1218
Total,1322,646,672,166,276,234,223,176,248,38,100,162,50,115,60,120,93,103,174,112,195,100,99,56,67,72,61,49,49,877,441,969,142,122,72,16,116,1205
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree (5.00),107,71,35,19,46,21,8,9,4,3,5,10,7,4,4,14,6,3,7,8,36,13,8,5,1,4,2,4,2,81,26,71,15,12,7,1,14,93
,0.08,0.11,0.05,0.11,0.17,0.09,0.04,0.05,0.02,0.08,0.05,0.06,0.15,0.03,0.06,0.12,0.07,0.03,0.04,0.07,0.18,0.13,0.08,0.09,0.01,0.05,0.04,0.08,0.03,0.09,0.06,0.07,0.11,0.1,0.1,0.06,0.12,0.08
,, b,, def, cdef, df,,,,,,, beij,,, eij,,,,, bcefhijk, dfh,, d,,,,,, b,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree (4.00),165,97,68,28,63,32,25,9,8,4,10,20,10,14,8,8,4,11,19,5,52,6,13,3,7,10,7,8,2,123,42,122,18,9,13,3,13,152
,0.12,0.15,0.1,0.17,0.23,0.14,0.11,0.05,0.03,0.12,0.1,0.12,0.19,0.12,0.14,0.07,0.05,0.11,0.11,0.05,0.27,0.06,0.13,0.05,0.11,0.14,0.12,0.17,0.05,0.14,0.09,0.13,0.13,0.08,0.18,0.16,0.12,0.13
,, b,, ef, cdef, ef, ef,,,,, hk, ghk,, hk,,,,,, bcefghijk,,,,,,, ach,, b,,,,, c,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neither agree nor disagree (3.00),126,67,59,21,28,28,21,13,15,3,10,17,2,16,4,12,8,14,9,9,20,12,9,5,10,8,7,4,4,89,37,81,20,11,12,2,18,108
,0.1,0.1,0.09,0.13,0.1,0.12,0.09,0.08,0.06,0.08,0.1,0.1,0.04,0.14,0.07,0.1,0.09,0.14,0.05,0.08,0.1,0.12,0.09,0.08,0.15,0.11,0.12,0.09,0.08,0.1,0.08,0.08,0.14,0.09,0.16,0.14,0.16,0.09
,,,, f,, f,,,,,,,, j,,,, j,,,,,,,,,,,,,,, a,, a,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disagree (2.00),363,165,197,46,78,56,65,48,69,9,34,53,13,35,14,36,28,21,51,27,43,33,33,15,16,19,20,10,17,245,117,273,30,38,20,2,21,341
