<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation. Which of the following best describes the profession of the chief income earner in your household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Higher managerial/ professional/ administrative (e.g. Established doctor, Solicitor, Board Director in a large organisation (200+ employees), top level civil servant/public service employee)",229,138,91,37,65,55,32,15,24,9,18,31,9,14,7,17,11,11,21,13,67,16,19,8,7,10,12,6,10,229,0,152,26,31,18,2,22,206
,0.11,0.13,0.08,0.17,0.18,0.16,0.09,0.04,0.05,0.14,0.1,0.13,0.11,0.08,0.07,0.09,0.07,0.06,0.07,0.07,0.24,0.1,0.14,0.09,0.06,0.09,0.14,0.08,0.12,0.16,0,0.09,0.13,0.22,0.17,0.07,0.15,0.1
,, b,, def, def, def, ef,,, i,, hijk,,,,,,,,, bcdefghijk,, d,,,,,,, b,,,, ab, a,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intermediate managerial/ professional/ administrative (e.g. Newly qualified doctor, Solicitor, Board director small organisation, middle manager in large organisation, principal officer in civil service/ local government)",571,290,281,62,131,116,97,96,69,14,44,67,18,43,26,51,33,46,80,40,111,43,45,18,31,33,21,23,23,571,0,414,60,47,39,12,41,530
,0.27,0.28,0.25,0.28,0.36,0.33,0.27,0.28,0.14,0.23,0.25,0.28,0.2,0.24,0.26,0.27,0.21,0.25,0.27,0.2,0.4,0.26,0.32,0.2,0.26,0.28,0.24,0.29,0.27,0.4,0,0.25,0.31,0.32,0.37,0.4,0.28,0.27
