Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 131,,,,,,,,,
,"Q25. Summary Table: To what extent do you agree or disagree, if at all, with the following statements about what life is like for young people, aged 16-24, in your local community?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,Strongly agree,Tend to agree,Neither agree nor disagree,Tend to disagree,Strongly disagree,Don't know,NET: Agree,NET: Disagree
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,Young people in my community have access to educational and employment opportunities,6241,619,2321,1395,952,467,487,2940,1419
,,,0.1,0.37,0.22,0.15,0.07,0.08,0.47,0.23
,There are free activities for young people in my community to do,6241,502,1637,1245,1314,798,745,2139,2113
,,,0.08,0.26,0.2,0.21,0.13,0.12,0.34,0.34
,Young people in my community have safe places to meet socially,6241,518,1577,1289,1454,854,550,2095,2307
,,,0.08,0.25,0.21,0.23,0.14,0.09,0.34,0.37
,There is good support for young people struggling with mental health in my community,6241,421,1128,1458,1347,917,970,1548,2265
,,,0.07,0.18,0.23,0.22,0.15,0.16,0.25,0.36
,Young people in my community are able to influence decision making,6241,405,1089,1625,1578,867,677,1494,2445
,,,0.06,0.17,0.26,0.25,0.14,0.11,0.24,0.39
,The voices of young people in my community are listened to,6241,425,968,1640,1608,842,757,1394,2450
,,,0.07,0.16,0.26,0.26,0.13,0.12,0.22,0.39
,I would like to be a young person in the UK today,6241,527,791,1114,1433,2220,156,1318,3653
,,,0.08,0.13,0.18,0.23,0.36,0.03,0.21,0.59
,Young people in my community can easily find affordable housing,6241,311,674,857,1612,2394,392,985,4006
,,,0.05,0.11,0.14,0.26,0.38,0.06,0.16,0.64
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
