Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q5b. Summary Table (NET: Equipped): To what extent do you feel equipped, if at all, to help your child/chilren aged 6 - 11, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 6 - 11 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,887,310,887,354,680,643,228,657,2,412,474,28,64,85,36,74,34,92,61,65,106,87,155,516,371,745,35,44,58,5,142,468,404,872,15,110,242,521
,Total,888,309,888,357,682,645,225,661,2,439,449,32,64,87,36,71,33,90,66,62,103,88,158,515,373,747,34,44,58,5,142,443,430,873,15,113,243,519
,Friendships groups,295,100,295,120,224,214,86,209,0,144,151,10,20,33,14,32,9,23,16,27,29,28,54,172,123,258,7,18,12,0,37,151,139,290,4,39,92,163
,,0.64,0.62,0.64,0.65,0.65,0.63,0.68,0.62,0,0.68,0.6,0.69,0.62,0.7,0.62,0.68,0.41,0.54,0.5,0.72,0.55,0.65,0.75,0.63,0.64,0.65,0.37,0.76,0.55,0,0.57,0.6,0.68,0.64,0.47,0.8,0.69,0.59
,,,,,,,,,,,,,,,,,,,,,,,,ghj,,,,,,,,,,,,,c,,
,Emotional wellbeing and/or mental health issues,348,120,348,142,275,249,86,260,1,161,186,16,25,36,12,29,19,24,27,26,45,31,57,214,134,297,11,19,20,1,51,184,159,343,5,38,97,207
,,0.66,0.64,0.66,0.69,0.67,0.65,0.61,0.67,1,0.66,0.65,0.82,0.62,0.63,0.53,0.66,0.77,0.5,0.66,0.65,0.68,0.62,0.75,0.69,0.61,0.65,0.58,0.68,0.76,0.35,0.67,0.65,0.67,0.66,0.63,0.69,0.67,0.64
,,,,,,,,,,,,,,,,,,,,,,g,,g,,,,,,,,,,,,,,,
,Diet or eating habits,280,98,280,117,219,197,72,208,0,148,132,9,19,35,11,23,13,20,19,18,27,29,58,171,109,237,11,15,18,0,44,132,145,276,4,42,79,157
,,0.7,0.67,0.7,0.75,0.71,0.69,0.66,0.72,0,0.75,0.66,0.8,0.64,0.71,0.73,0.64,0.72,0.55,0.71,0.65,0.64,0.81,0.79,0.75,0.64,0.71,0.69,0.69,0.66,0,0.67,0.65,0.75,0.7,0.67,0.79,0.72,0.68
,,,,,,,,,,,b,,,,,,,,,,,,g,g,b,,,,,,,,,a,,,,,
,Learning development,259,97,259,109,203,190,80,178,1,150,109,15,14,31,12,22,11,14,17,16,29,24,53,150,109,218,7,15,18,0,40,108,148,256,3,36,76,145
,,0.68,0.69,0.68,0.72,0.7,0.69,0.71,0.67,1,0.75,0.6,0.87,0.55,0.79,0.8,0.64,0.69,0.41,0.64,0.61,0.63,0.74,0.81,0.72,0.64,0.69,0.45,0.72,0.72,0,0.65,0.6,0.76,0.68,0.6,0.78,0.72,0.65
,,,,,,,,,,,b,,,,g,,g,,,,,,g,gj,,,,,,,,,,ac,a,,,,
,Racism,211,70,211,87,171,144,64,146,1,121,89,9,13,24,9,16,10,24,14,12,24,15,42,122,89,159,9,17,26,0,52,90,118,208,3,31,61,115
,,0.66,0.61,0.66,0.66,0.68,0.64,0.66,0.65,1,0.69,0.61,0.73,0.59,0.67,0.82,0.61,0.67,0.63,0.76,0.67,0.59,0.65,0.67,0.67,0.64,0.65,0.58,0.72,0.71,0,0.68,0.6,0.7,0.66,0.6,0.67,0.69,0.63
,"Global issues such as climate change, war or terrorism",186,70,186,90,150,133,56,130,0,122,64,5,7,25,6,14,5,16,11,11,16,22,48,95,91,160,4,9,11,1,25,63,120,184,2,38,60,87
