Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 160,,,,,,,,,
,"Q28. Summary Table: To what extent do you agree or disagree, if at all, with the following statements relating to climate change?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,NET: Agree,NET: Disagree
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,Climate change will reduce the quality of life for future generations,8976,2544,3328,1664,666,485,289,5872,1151
,,,0.28,0.37,0.19,0.07,0.05,0.03,0.65,0.13
,"Individual action to address climate change (e.g. recycling, using public transport, having fewer holidays abroad) makes a positive difference",8976,2121,3632,1871,749,414,191,5752,1162
,,,0.24,0.4,0.21,0.08,0.05,0.02,0.64,0.13
,The impacts of climate change will make health inequalities worse,8976,1931,3209,2203,699,434,499,5140,1134
,,,0.22,0.36,0.25,0.08,0.05,0.06,0.57,0.13
,"Media coverage of the impact of climate change (e.g. wildfires, floods, extreme heatwaves) has made addressing climate change more important to me personally",8976,1521,3228,2357,957,740,173,4749,1697
,,,0.17,0.36,0.26,0.11,0.08,0.02,0.53,0.19
,I am personally motivated to engage in action to address climate change,8976,1421,3077,2479,1034,806,158,4498,1840
,,,0.16,0.34,0.28,0.12,0.09,0.02,0.5,0.2
,I am optimistic that we can still prevent the worst long-term effects of climate change,8976,1086,3221,2384,1400,599,285,4307,2000
,,,0.12,0.36,0.27,0.16,0.07,0.03,0.48,0.22
,Addressing climate change is a top political priority for me,8976,1657,2612,2174,1258,1133,142,4269,2391
,,,0.18,0.29,0.24,0.14,0.13,0.02,0.48,0.27
,I think the effects of climate change are being over-exaggerated,8976,1018,1506,1618,1781,2889,164,2524,4671
,,,0.11,0.17,0.18,0.2,0.32,0.02,0.28,0.52
,There is no point in changing my behaviour to tackle climate change because it won't make a difference anyway,8976,861,1491,1789,2134,2536,166,2351,4670
,,,0.1,0.17,0.2,0.24,0.28,0.02,0.26,0.52
,I feel optimistic about the world that younger generations will inherit,8976,663,1685,2247,2438,1776,167,2348,4214
,,,0.07,0.19,0.25,0.27,0.2,0.02,0.26,0.47
,I don't believe in climate change,8976,648,919,1324,1550,4403,132,1567,5953
,,,0.07,0.1,0.15,0.17,0.49,0.01,0.17,0.66
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
