<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender. In which of the following ways do you identify?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1037,1037,0,75,171,162,187,180,262,28,81,119,44,82,46,84,66,86,138,119,143,69,80,38,51,57,36,34,36,727,306,845,85,54,46,6,62,975
,0.48,1,0,0.33,0.47,0.46,0.53,0.52,0.52,0.47,0.45,0.5,0.51,0.47,0.46,0.45,0.42,0.46,0.47,0.59,0.51,0.42,0.56,0.41,0.44,0.49,0.41,0.44,0.43,0.51,0.43,0.5,0.44,0.37,0.44,0.21,0.42,0.49
,, b,,, a, a, a, a, a,,,,,,,,,,, befghij,,, acdfgh,,,,,,, b,, ce, e,, e,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1105,0,1105,148,194,190,169,163,242,32,99,116,41,94,55,105,90,100,157,82,135,94,62,55,66,61,50,44,47,695,407,824,108,90,59,24,86,1019
,0.51,0,1,0.66,0.53,0.54,0.47,0.47,0.48,0.53,0.55,0.49,0.48,0.53,0.54,0.55,0.57,0.54,0.53,0.4,0.49,0.58,0.44,0.59,0.56,0.51,0.58,0.56,0.57,0.49,0.57,0.49,0.56,0.63,0.55,0.79,0.58,0.51
,,, a, bcdef,,,,,,, k,,, k, k, k, k, k, k,,, b,, b, b,, b, b, b,, a,,, a,, abd,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I identify in another way,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,2,0,0,1,0,0,3
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefer not to say,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2
,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
