Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Homeless and Police PR - W184,,,,,,,,
,Table 1,,,,,,,,
,"Q1. Summary : To what extent would you say that homelessness is, or is not, a problem in each of the following areas?",,,,,,,,
,BASE: All respondents,,,,,,,,
,,,,,,,,,
,,Total,Is a big problem,Is somewhat a problem,Isn't much of a problem,Isn't a problem at all,Don't know,Sum: Problem,Sum: Not a problem
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g
,In the UK's big cities,2235,1217,701,180,65,73,1917,245
,,,0.54,0.31,0.08,0.03,0.03,0.86,0.11
,In the UK generally,2235,985,901,226,47,76,1886,273
,,,0.44,0.4,0.1,0.02,0.03,0.84,0.12
,In your neighbourhood,2235,270,626,776,474,89,896,1250
,,,0.12,0.28,0.35,0.21,0.04,0.4,0.56
,"Columns Tested: a,b,c,d,e,f,g",,,,,,,,
,,,,,,,,,
,Prepared by Savanta,,,,,,,,
