Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 160,,,,,,,,,
,"Q28. Summary Table: To what extent do you agree or disagree, if at all, with the following statements relating to climate change?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,NET: Agree,NET: Disagree
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,Climate change will reduce the quality of life for future generations,6241,1748,2346,1164,450,338,196,4093,788
,,,0.28,0.38,0.19,0.07,0.05,0.03,0.66,0.13
,"Individual action to address climate change (e.g. recycling, using public transport, having fewer holidays abroad) makes a positive difference",6241,1486,2517,1298,528,278,134,4003,806
,,,0.24,0.4,0.21,0.08,0.04,0.02,0.64,0.13
,The impacts of climate change will make health inequalities worse,6241,1340,2234,1519,494,306,347,3574,801
,,,0.21,0.36,0.24,0.08,0.05,0.06,0.57,0.13
,"Media coverage of the impact of climate change (e.g. wildfires, floods, extreme heatwaves) has made addressing climate change more important to me personally",6241,1062,2261,1616,670,509,124,3324,1178
,,,0.17,0.36,0.26,0.11,0.08,0.02,0.53,0.19
,I am personally motivated to engage in action to address climate change,6241,999,2147,1703,723,559,112,3145,1282
,,,0.16,0.34,0.27,0.12,0.09,0.02,0.5,0.21
,I am optimistic that we can still prevent the worst long-term effects of climate change,6241,770,2241,1653,968,418,191,3011,1387
,,,0.12,0.36,0.26,0.16,0.07,0.03,0.48,0.22
,Addressing climate change is a top political priority for me,6241,1155,1830,1507,868,782,100,2985,1650
,,,0.18,0.29,0.24,0.14,0.13,0.02,0.48,0.26
,I think the effects of climate change are being over-exaggerated,6241,709,1062,1150,1219,1984,117,1771,3203
,,,0.11,0.17,0.18,0.2,0.32,0.02,0.28,0.51
,There is no point in changing my behaviour to tackle climate change because it won't make a difference anyway,6241,607,1052,1248,1475,1741,117,1660,3216
,,,0.1,0.17,0.2,0.24,0.28,0.02,0.27,0.52
,I feel optimistic about the world that younger generations will inherit,6241,471,1179,1569,1688,1219,115,1650,2907
,,,0.08,0.19,0.25,0.27,0.2,0.02,0.26,0.47
,I don't believe in climate change,6241,447,653,934,1088,3027,92,1100,4115
,,,0.07,0.1,0.15,0.17,0.48,0.01,0.18,0.66
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
