Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q8. To what extent has social media had a positive or negative impact on your life in the last 10 years (i.e. since 2012)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Very positive,5033,400,311,488,504,398,464,367,535,200,208,376,359,101,172,149,809,1234,1062,868,593,468,2042,1929,1062,3602,411,276,313,430,1152,3395,675,2720,444
,,0.32,0.4,0.3,0.46,0.46,0.37,0.45,0.33,0.53,0.2,0.21,0.37,0.31,0.09,0.17,0.14,0.31,0.36,0.35,0.32,0.28,0.25,0.34,0.33,0.27,0.37,0.24,0.26,0.2,0.26,0.3,0.35,0.29,0.36,0.23
,,,bgijlmno,ijmno,abegijklmno,abegijklmno,bgijlmno,abegijklmno,ijmno,abcdefgijklmno,mo,mno,bijlmno,ijmno,,m,m,efi,adefghi,adefi,efi,f,,aefi,aefi,,bcde,d,d,,d,e,ace,e,abce,
,Fairly positive,6221,385,533,342,363,435,410,461,333,497,394,426,432,398,498,313,1038,1321,1157,1158,847,700,2359,2315,1546,3846,670,457,627,621,1516,3934,962,2972,719
,,0.4,0.38,0.52,0.32,0.33,0.41,0.4,0.42,0.33,0.49,0.39,0.42,0.37,0.37,0.49,0.3,0.4,0.39,0.38,0.43,0.41,0.38,0.39,0.4,0.39,0.4,0.39,0.42,0.4,0.38,0.39,0.4,0.42,0.4,0.37
,,,cdho,acdefghjklmo,,,cdho,cdho,cdhlmo,,acdefghjklmo,cdho,cdhlmo,cdho,cdho,acdefghjklmo,,,,,bcfghi,,,,,,,,e,,,,e,e,e,
,Neither positive nor negative,3295,156,150,107,172,184,117,254,107,185,350,143,266,413,293,396,522,618,604,504,513,535,1140,1108,1047,1686,463,224,502,419,851,1813,473,1340,588
,,0.21,0.15,0.15,0.1,0.16,0.17,0.11,0.23,0.1,0.18,0.35,0.14,0.23,0.39,0.29,0.38,0.2,0.18,0.2,0.18,0.25,0.29,0.19,0.19,0.27,0.17,0.27,0.21,0.32,0.26,0.22,0.19,0.21,0.18,0.3
,,,cfh,cfh,,cfh,cfhk,,abcdefhik,,bcfhk,abcdefghikln,ch,abcdefhik,abcdefghikln,abcdefghikl,abcdefghikln,b,,b,,abcdgh,abcdegh,,,abcdgh,,ac,a,abce,ac,bd,,bd,,abcd
,Fairly negative,747,46,20,109,40,34,19,16,33,60,22,44,71,99,22,110,134,164,143,125,86,94,298,268,181,394,107,75,80,91,222,411,123,289,103
,,0.05,0.05,0.02,0.1,0.04,0.03,0.02,0.01,0.03,0.06,0.02,0.04,0.06,0.09,0.02,0.11,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.06,0.07,0.05,0.06,0.06,0.04,0.05,0.04,0.05
,,,bfgjn,,abdefghijkln,bfgjn,g,,,g,bdefghjn,,bfgjn,bdefghjn,abdefghijkln,,abdefghijkln,,,,,,,,,,,a,ad,,a,bd,,bd,,bd
