<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q8. Since losing money, have you experienced any changes in your physical health that you feel could be a result of being a victim of fraud? Examples may include increased blood pressure or weight gain as a result of prolonged stress caused by the incident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1335,655,676,169,294,251,230,179,212,35,123,191,46,110,79,105,102,99,168,84,193,88,116,62,64,70,73,64,61,892,439,976,143,124,75,17,117,1218
Total,1322,646,672,166,276,234,223,176,248,38,100,162,50,115,60,120,93,103,174,112,195,100,99,56,67,72,61,49,49,877,441,969,142,122,72,16,116,1205
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, I have definitely experienced changes in my physical health as a result of being a victim of fraud",336,178,157,55,125,70,43,27,15,9,19,45,16,25,13,26,21,21,29,21,92,25,31,17,12,16,14,13,9,252,84,231,47,33,20,5,41,295
,0.25,0.28,0.23,0.33,0.45,0.3,0.19,0.15,0.06,0.22,0.19,0.28,0.32,0.21,0.22,0.21,0.23,0.21,0.17,0.19,0.47,0.25,0.31,0.3,0.18,0.22,0.23,0.28,0.18,0.29,0.19,0.24,0.33,0.27,0.28,0.31,0.36,0.24
,,,, def, acdef, def, f, f,,,, j, j,,,,,,,, abcefghijk,,,,,,,,, b,,, a,,,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, I have experienced changes in my physical health, although I'm not certain they are a result of being a victim of fraud",238,117,121,41,62,42,36,23,33,6,15,32,10,23,9,28,18,17,24,15,41,25,19,10,13,15,13,8,5,170,67,150,33,26,25,4,28,210
,0.18,0.18,0.18,0.25,0.23,0.18,0.16,0.13,0.14,0.15,0.15,0.2,0.19,0.2,0.15,0.24,0.19,0.16,0.14,0.13,0.21,0.25,0.19,0.17,0.19,0.21,0.22,0.17,0.1,0.19,0.15,0.15,0.24,0.21,0.34,0.25,0.24,0.17
,,,, def, ef,,,,,,,,,,, j,,,,,, h,,,,,,,,,,, a,, ac,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
