Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,
,Table 61,,,,,,,,
,Q9_W3. Summary Table: How well do you think your local community is faring in each of the following areas?By 'local community' we mean the local area where you live.,,,,,,,,
,BASE: All respondents,,,,,,,,
,,,Scale,,,,,,
,,Total,Very well,Fairly well,Not very well,Not at all well,Don't know,NET: Well,NET: Not well
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g
,Access to green spaces,6241,1826,3153,911,249,102,4979,1160
,,,0.29,0.51,0.15,0.04,0.02,0.8,0.19
,Community and public spaces,6241,1173,3312,1289,297,170,4485,1586
,,,0.19,0.53,0.21,0.05,0.03,0.72,0.25
,Overall quality of life,6241,922,3480,1257,340,241,4402,1598
,,,0.15,0.56,0.2,0.05,0.04,0.71,0.26
,Education opportunities,6241,955,3270,1185,323,508,4225,1508
,,,0.15,0.52,0.19,0.05,0.08,0.68,0.24
,Transport networks,6241,1186,2866,1385,668,136,4052,2053
,,,0.19,0.46,0.22,0.11,0.02,0.65,0.33
,Health and wellbeing,6241,701,3266,1500,335,438,3968,1835
,,,0.11,0.52,0.24,0.05,0.07,0.64,0.29
,Access to a safe and attractive high street or shops,6241,915,2642,1714,824,146,3557,2538
,,,0.15,0.42,0.27,0.13,0.02,0.57,0.41
,Levels of crime and anti-social behaviour,6241,777,2605,1708,888,263,3382,2595
,,,0.12,0.42,0.27,0.14,0.04,0.54,0.42
,Job and employment prospects,6241,483,2437,2046,616,659,2921,2662
,,,0.08,0.39,0.33,0.1,0.11,0.47,0.43
,Availability of housing,6241,624,2252,1922,1005,438,2876,2927
,,,0.1,0.36,0.31,0.16,0.07,0.46,0.47
,Financial prosperity,6241,509,2124,2211,772,625,2633,2983
,,,0.08,0.34,0.35,0.12,0.1,0.42,0.48
,"Columns Tested: a,b,c,d,e,f,g",,,,,,,,
,,,,,,,,,
,Prepared by Savanta,,,,,,,,
