Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,
,Table 6,,,,,,,,,,,,,,,
,Q4_W3. Summary Table: You said that you intend to volunteer in your local community next year. In which of the following areas do you think you might do this?By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,
,BASE: All respondents who intend to volunteer in their community in the next 12 months,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-10
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n
,Food banks,3109,425,325,216,83,53,43,40,27,25,21,425,966,1103,1260
,,,0.14,0.1,0.07,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.14,0.31,0.35,0.41
,Environment (e.g. litter picking),3109,443,312,168,85,52,43,33,28,28,18,443,923,1060,1210
,,,0.14,0.1,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.14,0.3,0.34,0.39
,Charity shops,3109,406,321,193,97,50,40,20,20,26,23,406,920,1067,1195
,,,0.13,0.1,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.3,0.34,0.38
,Supporting older people,3109,416,287,212,110,69,44,20,24,25,23,416,915,1094,1231
,,,0.13,0.09,0.07,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.29,0.35,0.4
,Supporting young people,3109,307,215,121,66,45,42,38,40,39,27,307,644,755,941
,,,0.1,0.07,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.21,0.24,0.3
,"Supporting people with multiple and complex needs (e.g. disabled, disadvantaged, homelessness, mental health issues)",3109,220,166,106,72,69,41,34,29,25,23,220,492,633,784
,,,0.07,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.16,0.2,0.25
,Animal welfare,3109,227,167,96,73,44,38,21,38,35,33,227,490,607,772
,,,0.07,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.16,0.2,0.25
,"Supporting people with the cost of living (e.g. budget management, cooking meals)",3109,135,133,89,58,49,45,56,41,24,23,135,357,463,652
,,,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.04,0.11,0.15,0.21
,Supporting local community through other volunteering / local action,3109,180,79,42,15,12,6,9,9,3,12,180,302,329,368
,,,0.06,0.03,0.01,*%,*%,*%,*%,*%,*%,*%,0.06,0.1,0.11,0.12
,"Mentoring of others (e.g. homeless, ex-offenders)",3109,101,83,76,54,52,36,35,45,48,43,101,260,366,575
,,,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.08,0.12,0.18
,Climate action,3109,94,87,79,48,49,29,43,32,40,49,94,260,357,550
,,,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.08,0.11,0.18
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,
