Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Homeless and Police PR - W184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q3. Summary Bad job: To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2235,1055,1175,249,394,308,385,386,513,643,693,899,52,165,248,106,214,136,240,178,190,276,156,274,1882,578,466,308,873,696,558,111,39,35,55,13,44,522,811,716,593
,Total,2235,1088,1142,248,387,358,396,331,516,635,753,847,67,189,249,91,182,108,193,158,193,304,208,293,1871,608,626,451,541,707,552,112,35,38,58,7,56,507,788,750,593
,Investigating minor crimes,1321,670,651,127,182,189,211,228,384,309,400,612,36,111,157,52,105,67,123,90,116,182,136,147,1108,331,363,251,372,472,326,65,29,17,33,4,32,257,529,464,281
,,0.59,0.62,0.57,0.51,0.47,0.53,0.53,0.69,0.74,0.49,0.53,0.72,0.53,0.59,0.63,0.57,0.58,0.61,0.64,0.57,0.6,0.6,0.66,0.5,0.59,0.54,0.58,0.56,0.69,0.67,0.59,0.58,0.84,0.46,0.57,0.58,0.56,0.51,0.67,0.62,0.47
,,,b,,,,,,abcdgh,abcdgh,,,abcdgh,,,l,,,l,l,,l,l,l,,l,,,,abc,bei,i,,abcefhi,,,,,,bc,c,
,Having a visible presence in your area,1310,646,662,109,165,183,249,237,367,274,432,603,47,102,160,52,107,63,122,99,108,177,137,136,1098,333,367,244,360,458,318,67,31,22,32,5,38,269,522,473,272
,,0.59,0.59,0.58,0.44,0.43,0.51,0.63,0.71,0.71,0.43,0.57,0.71,0.7,0.54,0.64,0.57,0.59,0.58,0.63,0.63,0.56,0.58,0.66,0.46,0.59,0.55,0.59,0.54,0.67,0.65,0.58,0.6,0.89,0.58,0.55,0.75,0.67,0.53,0.66,0.63,0.46
,,,,,,,bg,abcg,abcdgh,abcdgh,,abg,abcdgh,bl,,bl,,l,l,l,l,l,l,bl,,l,,,,abc,bi,,,abcefhi,,,,,,c,c,
,Acting as a deterrent for criminal activity,1149,576,570,119,157,188,216,186,283,277,404,468,31,85,143,48,90,55,104,89,106,154,114,131,978,284,332,231,299,379,288,59,23,17,27,4,26,254,452,384,277
,,0.51,0.53,0.5,0.48,0.41,0.53,0.54,0.56,0.55,0.44,0.54,0.55,0.46,0.45,0.57,0.52,0.5,0.51,0.54,0.56,0.55,0.51,0.55,0.45,0.52,0.47,0.53,0.51,0.55,0.54,0.52,0.53,0.68,0.46,0.46,0.61,0.46,0.5,0.57,0.51,0.47
,,,,,,,bg,bg,abg,bg,,bg,abg,,,bl,,,,l,bl,l,,l,,l,,a,,a,,,,fhi,,,,,,bc,,
,Policing peaceful protests in the UK,777,388,387,126,143,125,125,108,151,269,250,258,19,56,105,36,77,42,57,58,61,90,72,103,660,209,236,154,175,242,197,36,17,7,18,1,12,192,306,217,227
,,0.35,0.36,0.34,0.51,0.37,0.35,0.32,0.33,0.29,0.42,0.33,0.3,0.28,0.3,0.42,0.4,0.42,0.39,0.3,0.37,0.32,0.3,0.35,0.35,0.35,0.34,0.38,0.34,0.32,0.34,0.36,0.32,0.5,0.18,0.31,0.13,0.21,0.38,0.39,0.29,0.38
,,,,,bcdefghi,fi,,,,,cdefhi,,,,,bgijm,,bgijm,,,,,,,,,,,,,,eh,,aceh,,,,,eh,b,,b
,Investigating major crimes,675,358,316,98,106,133,112,100,126,204,245,226,21,54,96,31,59,24,61,42,50,93,63,82,576,181,183,154,156,202,162,34,17,7,12,*,14,173,245,204,200
,,0.3,0.33,0.28,0.4,0.27,0.37,0.28,0.3,0.24,0.32,0.33,0.27,0.31,0.29,0.38,0.34,0.33,0.22,0.32,0.26,0.26,0.31,0.3,0.28,0.31,0.3,0.29,0.34,0.29,0.29,0.29,0.3,0.49,0.18,0.21,0.05,0.24,0.34,0.31,0.27,0.34
,,,b,,bdefghi,,bdfi,,f,,fi,fi,,,,bfhilm,f,f,,f,,,,,,f,,,,,,,,abcefh,,,,,af,,,b
,Policing major events i.e. football matches,465,224,239,84,102,92,60,57,70,186,152,127,15,34,62,17,40,23,51,32,32,53,39,66,392,138,141,82,103,107,120,17,6,6,14,1,8,136,145,134,161
,,0.21,0.21,0.21,0.34,0.26,0.26,0.15,0.17,0.14,0.29,0.2,0.15,0.23,0.18,0.25,0.19,0.22,0.22,0.26,0.2,0.16,0.18,0.19,0.22,0.21,0.23,0.22,0.18,0.19,0.15,0.22,0.15,0.16,0.16,0.24,0.13,0.14,0.27,0.18,0.18,0.27
,,,,,bcdefhi,defhi,defhi,,,,defhi,dfi,,,,ij,,,,bij,,,,,,,,,,,,a,,,,,,,abc,,,ab
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b,c,d,e,f,g,h,i - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
