Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Homeless and Police PR - W184,,,,,,,,
,Table 18,,,,,,,,
,Q5. Summary : To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,,,,,,,,
,BASE: All respondents,,,,,,,,
,,,,,,,,,
,,Total,Very well,Fairly well,Fairly badly,Very badly,Don't know,Sum: Well,Sum: Badly
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g
,"Environmental protests e.g. Just Stop Oil, Extinction Rebellion",2235,211,660,612,495,258,871,1107
,,,0.09,0.3,0.27,0.22,0.12,0.39,0.5
,Black Lives Matter protests,2235,237,733,527,400,338,970,927
,,,0.11,0.33,0.24,0.18,0.15,0.43,0.41
,Pro-Palestine protests,2235,237,690,486,418,404,927,904
,,,0.11,0.31,0.22,0.19,0.18,0.41,0.4
,Anti-lockdown protests,2235,226,783,526,319,382,1009,845
,,,0.1,0.35,0.24,0.14,0.17,0.45,0.38
,Anti-Brexit protests,2235,246,772,508,270,439,1019,778
,,,0.11,0.35,0.23,0.12,0.2,0.46,0.35
,"Columns Tested: a,b,c,d,e,f,g",,,,,,,,
,,,,,,,,,
,Prepared by Savanta,,,,,,,,
