Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q9_W3.7. Community and public spaces: How well do you think your local community is faring in each of the following areas?By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Very well,1684,897,778,262,300,225,238,234,425,562,463,659,482,1202,427,547,367,213,130,974,710,881,788,1368,34,164,83,30,1124,542,295,268,1530,109,1363,286,1480,190,1055,455,355,245,468,1401,254,1021,619
,,0.19,0.21,0.17,0.22,0.2,0.16,0.16,0.17,0.21,0.21,0.16,0.19,0.16,0.2,0.21,0.18,0.2,0.16,0.16,0.2,0.18,0.17,0.21,0.18,0.2,0.23,0.27,0.19,0.2,0.17,0.17,0.17,0.19,0.15,0.25,0.09,0.23,0.08,0.24,0.32,0.2,0.19,0.14,0.27,0.08,0.2,0.17
,,,b,,cdehi,cdeh,,,,cdeh,cdeh,,cdeh,,a,bdeg,d,deg,,,deg,,,a,,,a,ab,,bc,,,,b,,b,,b,,cde,acde,e,e,,b,,b,
,Fairly well,4737,2267,2447,514,719,737,790,801,1176,1233,1527,1977,1469,3268,1096,1612,929,722,377,2709,2028,2712,1998,4081,80,340,143,78,3131,1551,809,775,4314,361,3027,1527,3462,1226,2290,683,960,648,1811,2885,1693,2588,1987
,,0.53,0.53,0.53,0.44,0.48,0.52,0.55,0.57,0.58,0.46,0.53,0.57,0.47,0.56,0.55,0.54,0.51,0.53,0.45,0.55,0.51,0.53,0.53,0.54,0.47,0.48,0.47,0.49,0.55,0.49,0.46,0.5,0.53,0.51,0.55,0.49,0.54,0.52,0.51,0.49,0.54,0.51,0.54,0.55,0.5,0.52,0.55
,,,,,,a,ag,abg,abcgh,abcgh,,abg,abcgh,,a,ceg,ceg,e,e,,ceg,e,,,bcd,,,,,bcd,c,,c,,,b,,,,,,b,,ab,b,,,a
,Not very well,1883,843,1029,308,343,358,281,268,326,650,639,594,825,1059,383,612,386,293,210,994,889,1108,753,1576,38,171,57,34,1119,738,452,364,1660,179,898,922,1205,647,888,200,375,313,738,787,1033,1057,753
,,0.21,0.2,0.22,0.26,0.23,0.25,0.19,0.19,0.16,0.24,0.22,0.17,0.27,0.18,0.19,0.21,0.21,0.21,0.25,0.2,0.22,0.22,0.2,0.21,0.23,0.24,0.19,0.21,0.2,0.24,0.25,0.24,0.21,0.25,0.16,0.3,0.19,0.27,0.2,0.14,0.21,0.25,0.22,0.15,0.31,0.21,0.21
,,,,a,defhi,defi,defhi,f,f,,defhi,defi,,b,,,,,,abcf,,af,,,,,d,,,,a,a,a,,a,,a,,a,b,,b,abce,ab,,a,,
,Not at all well,437,198,235,62,97,71,87,63,56,159,159,119,222,215,66,128,82,86,75,194,242,261,173,369,10,27,13,15,216,213,150,102,376,42,172,256,244,188,182,51,80,51,215,140,279,240,171
