Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6_4. Discuss pregnancy termination with a family member (e.g. parent, sibling): Compared with 10 years ago (i.e. 2012), is it generally easier or more difficult for women in your country to do each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much easier,3031,179,250,323,319,75,180,297,172,101,126,243,315,181,116,156,429,680,619,547,405,352,1108,1165,757,2136,212,148,278,258,637,2064,482,1582,307
,,0.19,0.18,0.24,0.3,0.29,0.07,0.18,0.27,0.17,0.1,0.12,0.24,0.27,0.17,0.11,0.15,0.17,0.2,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.22,0.12,0.14,0.18,0.16,0.17,0.21,0.21,0.21,0.16
,,,eijn,aefhijmno,abefhijkmno,abefhijkmno,,eijn,aefhijmno,eijn,e,e,aefhijmno,aefhijmno,eijn,e,ein,,a,ag,a,a,,a,ag,a,bcde,,,bc,b,,ae,ae,ae,
,Slightly easier,4220,278,429,249,353,181,274,399,267,229,265,229,336,314,214,202,642,926,803,797,527,525,1568,1600,1052,2831,370,261,399,358,933,2768,617,2152,493
