Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6a_11. Sexual harassment from adults: Which of the following, if any, are you concerned about on behalf of your child/children aged 12 - 17?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 12 - 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,1024,161,389,1024,747,693,123,887,14,522,501,28,60,141,56,87,40,98,80,77,131,77,149,540,484,882,33,56,45,7,137,495,513,1008,16,125,286,597
,Total,1032,161,394,1032,754,697,126,892,14,557,473,32,61,147,54,84,38,96,87,74,129,78,151,544,488,889,33,57,46,7,138,469,547,1016,16,128,288,600
,1,21,6,11,21,16,17,2,19,0,9,12,1,1,3,0,1,2,2,1,2,1,2,5,15,6,21,0,0,0,0,0,12,9,21,0,3,8,10
,,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0.03,0.02,0.02,0,0.01,0.05,0.02,0.01,0.02,0.01,0.03,0.03,0.03,0.01,0.02,0,0,0,0,0,0.02,0.02,0.02,0,0.02,0.03,0.02
,2,26,4,13,26,19,17,6,20,0,15,11,2,0,3,2,4,0,1,1,2,4,2,5,17,9,25,1,0,0,0,1,11,14,25,1,3,10,13
,,0.03,0.03,0.03,0.03,0.03,0.02,0.05,0.02,0,0.03,0.02,0.07,0,0.02,0.03,0.05,0,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0,0,0,0.01,0.02,0.03,0.02,0.07,0.03,0.04,0.02
,3,22,3,7,22,15,18,5,17,0,12,10,0,1,1,3,1,0,2,0,2,5,1,6,12,10,20,0,2,0,0,2,11,11,22,0,5,10,7
,,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.02,0,0.02,0.02,0,0.02,0.01,0.05,0.01,0,0.02,0,0.02,0.04,0.01,0.04,0.02,0.02,0.02,0,0.04,0,0,0.02,0.02,0.02,0.02,0,0.04,0.03,0.01
,,,,,,,,,,,,,,,,ch,,,,,,,,,,,,,,,,,,,,,c,c,
,4,29,2,15,29,23,21,5,22,1,19,10,1,2,4,3,4,0,1,2,2,2,2,5,11,18,22,1,3,1,1,6,11,17,28,1,3,7,17
,,0.03,0.01,0.04,0.03,0.03,0.03,0.04,0.03,0.07,0.03,0.02,0.03,0.04,0.03,0.05,0.05,0,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.04,0.03,0.03,0.06,0.02,0.13,0.05,0.02,0.03,0.03,0.07,0.02,0.03,0.03
,5,18,7,7,18,10,15,2,16,0,13,6,0,0,4,2,1,1,2,0,1,3,0,4,9,9,13,2,1,2,0,5,6,13,18,0,3,10,5
,,0.02,0.04,0.02,0.02,0.01,0.02,0.02,0.02,0,0.02,0.01,0,0,0.03,0.04,0.01,0.03,0.02,0,0.01,0.02,0,0.03,0.02,0.02,0.01,0.06,0.02,0.04,0,0.04,0.01,0.02,0.02,0,0.02,0.03,0.01
,,,c,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,c,
,6,16,4,8,16,12,15,3,13,0,5,10,0,1,1,0,0,2,1,1,2,4,3,1,11,5,9,2,3,2,0,7,10,5,16,0,3,4,9
,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0,0.01,0.02,0,0.02,0.01,0,0,0.05,0.01,0.01,0.02,0.03,0.04,0.01,0.02,0.01,0.01,0.06,0.05,0.04,0,0.05,0.02,0.01,0.02,0,0.02,0.01,0.01
,,,,,,,,,,,,,,,,,,el,,,,,,,,,,a,a,a,,a,,,,,,,
,7,8,2,2,8,5,5,0,8,0,4,4,1,1,0,0,2,1,1,0,0,0,0,2,5,3,7,0,1,0,0,1,4,4,8,0,2,1,5
,,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.03,0.02,0,0,0.02,0.03,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0,0.02,0,0,0.01,0.01,0.01,0.01,0,0.02,*%,0.01
,8,9,2,4,9,6,6,2,7,0,7,2,0,0,3,0,0,0,1,0,0,0,0,5,5,4,8,0,0,1,0,1,2,7,9,0,4,2,2
,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0,0.01,*%,0,0,0.02,0,0,0,0.01,0,0,0,0,0.03,0.01,0.01,0.01,0,0,0.02,0,0.01,*%,0.01,0.01,0,0.03,0.01,*%
,,,,,,,,,,,,,,,,,,,,,,,,j,,,,,,,,,,,,,c,,
,9,6,1,3,6,5,4,1,5,0,3,3,0,1,0,1,0,1,1,1,0,0,0,1,2,4,6,0,0,0,0,0,4,2,6,0,1,1,4
,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.02,0,0.02,0,0.03,0.01,0.01,0,0,0,0.01,*%,0.01,0.01,0,0,0,0,0,0.01,*%,0.01,0,0.01,*%,0.01
,10,10,3,3,10,5,8,0,10,0,4,6,0,1,0,1,0,1,2,2,2,0,1,0,5,5,8,1,1,0,0,2,6,4,10,0,0,5,5
,,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0.02,0,0.02,0,0.02,0.02,0.03,0.02,0,0.01,0,0.01,0.01,0.01,0.03,0.02,0,0,0.02,0.01,0.01,0.01,0,0,0.02,0.01
,11,7,1,2,7,6,5,4,3,0,5,2,0,2,1,1,0,0,0,0,1,0,0,2,4,3,6,0,1,0,0,1,2,5,7,0,1,4,2
,,0.01,0.01,*%,0.01,0.01,0.01,0.03,*%,0,0.01,*%,0,0.03,0.01,0.02,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0.02,0,0,0.01,*%,0.01,0.01,0,0.01,0.01,*%
,,,,,,,,b,,,,,,j,,,,,,,,,,,,,,,,,,,,,,,,,
,12,9,0,2,9,4,6,0,9,0,4,5,0,2,1,1,1,1,0,1,0,2,0,0,7,2,9,0,0,0,0,0,5,4,9,0,1,2,6
