Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,BBC 5Live - December 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q4. To what extent, if at all, are you confident in the ability of the police to tackle anti-social behaviour in your local area?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,,Social grade,,,,Education,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Non-graduates,Graduates
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b
,Unweighted Total,2300,1115,1172,272,362,322,366,466,509,634,688,975,34,169,259,112,226,138,229,166,189,336,165,277,1959,587,485,313,896,1167,1067
,Total,2300,1117,1172,252,393,364,402,336,525,645,766,861,69,194,257,94,187,112,198,163,198,312,214,301,1925,623,641,463,554,1090,1111
,Very confident,209,123,82,26,62,37,20,22,38,88,58,59,4,20,23,8,16,13,22,10,18,20,9,47,173,89,32,43,45,66,125
,,0.09,0.11,0.07,0.1,0.16,0.1,0.05,0.06,0.07,0.14,0.08,0.07,0.06,0.1,0.09,0.09,0.08,0.11,0.11,0.06,0.09,0.06,0.04,0.16,0.09,0.14,0.05,0.09,0.08,0.06,0.11
,,,b,,di,cdefhi,dei,,,,defhi,,,,k,,,,k,jk,,,,,cehijkm,k,bcd,,b,b,,a
,Fairly confident,712,328,385,80,129,113,139,98,153,210,252,251,24,52,84,27,48,33,61,50,66,98,75,95,604,214,207,148,138,315,387
,,0.31,0.29,0.33,0.32,0.33,0.31,0.35,0.29,0.29,0.33,0.33,0.29,0.34,0.27,0.33,0.28,0.26,0.29,0.31,0.31,0.33,0.31,0.35,0.31,0.31,0.34,0.32,0.32,0.25,0.29,0.35
,,,,,,,,,,,,,,,,,,,,,,,,e,,,d,d,d,,,a
,Not very confident,706,353,352,92,112,112,121,102,167,204,233,269,15,77,81,28,45,37,66,56,50,100,59,92,577,182,222,126,172,344,337
,,0.31,0.32,0.3,0.37,0.28,0.31,0.3,0.3,0.32,0.32,0.3,0.31,0.21,0.4,0.32,0.3,0.24,0.33,0.33,0.34,0.25,0.32,0.28,0.31,0.3,0.29,0.35,0.27,0.31,0.32,0.3
,,,,,b,,,,,,,,,,aeiklm,,,,,e,e,,e,,,,,c,,,,
,Not at all confident,491,244,241,32,60,76,95,91,132,92,171,222,21,36,44,24,50,22,37,37,52,74,51,43,412,100,132,125,128,277,195
,,0.21,0.22,0.21,0.12,0.15,0.21,0.24,0.27,0.25,0.14,0.22,0.26,0.31,0.19,0.17,0.25,0.27,0.2,0.18,0.23,0.26,0.24,0.24,0.14,0.21,0.16,0.21,0.27,0.23,0.25,0.18
,,,,,,,ag,abg,abg,abg,,abg,abg,l,,,l,cgl,,,l,cl,cl,l,,l,,,ab,a,b,
,Don't know,182,70,112,21,30,26,27,24,36,52,53,60,6,9,25,7,28,8,13,10,13,20,20,24,160,38,48,22,70,88,67
,,0.08,0.06,0.1,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.04,0.1,0.07,0.15,0.07,0.06,0.06,0.07,0.07,0.09,0.08,0.08,0.06,0.07,0.05,0.13,0.08,0.06
,,,,a,,,,,,,,,,,,b,,bdfghijlm,,,,,,,,,,,,abc,,
,NET: Confident,922,450,467,107,191,150,159,119,191,298,310,310,28,72,107,35,64,45,83,60,84,118,84,142,777,302,239,191,184,382,512
,,0.4,0.4,0.4,0.42,0.49,0.41,0.4,0.35,0.36,0.46,0.4,0.36,0.4,0.37,0.42,0.37,0.34,0.41,0.42,0.37,0.42,0.38,0.39,0.47,0.4,0.49,0.37,0.41,0.33,0.35,0.46
,,,,,,defhi,,,,,defhi,,,,,,,,,,,,,,behjm,,bcd,,d,,,a
,NET: Not confident,1197,597,593,124,172,188,216,193,298,296,404,491,36,113,125,52,95,59,103,93,101,174,110,136,989,283,354,251,300,621,532
,,0.52,0.53,0.51,0.49,0.44,0.52,0.54,0.57,0.57,0.46,0.53,0.57,0.52,0.58,0.49,0.55,0.51,0.52,0.52,0.57,0.51,0.56,0.51,0.45,0.51,0.45,0.55,0.54,0.54,0.57,0.48
,,,,,,,b,bg,abg,abg,,bg,abg,,l,,,,,,l,,l,,,l,,a,a,a,b,
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
