Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,
,Table 26,,,,,,,,,
,"Q10. Summary Table: Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,
,"by Q10. Summary Table: Compared with 10 years ago (i.e. 2012), do you think women in your country feel more or less comfortable discussing a gender-based crime (e.g. domestic abuse, forced marriage, female genital mutilation) with each of the following?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,Total,Much more comfortable,Slightly more comfortable,About the same,Slightly less comfortable,Much less comfortable,Don't know,NET: More comfortable,NET: Less comfortable
,Unweighted Total,0,0,0,0,0,0,0,0,0
,With a friend,15723,5627,5137,3044,893,462,560,10764,1355
,,,0.36,0.33,0.19,0.06,0.03,0.04,0.68,0.09
,With a partner,15723,5166,5039,3221,1028,546,723,10205,1574
,,,0.33,0.32,0.2,0.07,0.03,0.05,0.65,0.1
,Anonymously on social media,15723,5240,4791,2564,1340,903,886,10031,2243
,,,0.33,0.3,0.16,0.09,0.06,0.06,0.64,0.14
,"With a family member (e.g. parent, sibling)",15723,4688,5185,3457,1177,654,562,9873,1831
,,,0.3,0.33,0.22,0.07,0.04,0.04,0.63,0.12
,With the police,15723,3466,4486,3618,1809,1356,988,7952,3165
,,,0.22,0.29,0.23,0.12,0.09,0.06,0.51,0.2
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
