Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q6_2. Discuss pregnancy termination with a partner: Compared with 10 years ago (i.e. 2012), is it generally easier or more difficult for women in your country to do each of the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Much easier,4304,227,339,400,428,110,302,435,339,219,208,274,387,223,205,208,697,1018,839,772,517,462,1715,1610,979,2886,397,269,353,400,998,2846,703,2143,428
,,0.27,0.23,0.33,0.38,0.39,0.1,0.3,0.39,0.33,0.22,0.21,0.27,0.33,0.21,0.2,0.2,0.27,0.3,0.28,0.28,0.25,0.25,0.29,0.28,0.25,0.3,0.23,0.25,0.22,0.25,0.26,0.29,0.3,0.29,0.22
,,,e,aeijkmno,abefhijklmno,abefhijklmno,,aeijmno,abefhijklmno,aeijkmno,e,e,aeijmno,aeijkmno,e,e,e,,aefi,efi,efi,,,efi,efi,,bcde,,,,,e,ae,ae,ae,
,Slightly easier,4436,316,407,301,328,256,319,385,310,272,270,245,363,294,188,183,734,1012,866,768,522,533,1746,1634,1055,2944,404,287,411,389,1063,2852,642,2210,486
,,0.28,0.31,0.4,0.28,0.3,0.24,0.31,0.35,0.3,0.27,0.27,0.24,0.31,0.28,0.19,0.18,0.28,0.3,0.29,0.28,0.25,0.29,0.29,0.28,0.27,0.3,0.23,0.27,0.26,0.24,0.28,0.29,0.28,0.3,0.25
,,,eijkno,acdefghijklmno,ekno,ekno,no,eijkno,cdehijkmno,ekno,no,no,no,eijkno,no,,,e,ei,e,e,,e,ei,e,,bcde,,,,,,e,,ae,
,About the same,3534,227,188,188,159,275,135,166,134,135,353,244,234,382,404,310,437,613,723,662,593,506,1050,1385,1098,2091,425,170,481,368,759,2209,490,1718,535
,,0.22,0.23,0.18,0.18,0.14,0.26,0.13,0.15,0.13,0.13,0.35,0.24,0.2,0.36,0.4,0.3,0.17,0.18,0.24,0.24,0.28,0.27,0.17,0.24,0.28,0.22,0.25,0.16,0.3,0.23,0.2,0.23,0.21,0.23,0.28
,,,bcdfghi,dfghi,dfhi,,bcdfghil,,,,,abcdefghiklo,bcdfghil,dfghi,abcdefghiklo,abcdefghijklmo,abcdfghikl,,,abg,abg,abcdgh,abcdgh,,abg,abcdgh,c,ac,,abce,c,,a,,a,abcd
,Slightly more difficult,1364,97,34,84,99,157,145,58,120,139,37,92,93,38,32,139,280,339,246,207,161,132,618,452,293,786,178,119,109,172,395,785,198,587,165
