Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,
,Table 173,,,,,,,,,
,"Q29. Summary Table: To what extent, if at all, do you think that climate change will influence the following decisions in your future?",,,,,,,,,
,BASE: All respondents,,,,,,,,,
,,,Scale,,,,,,,
,,Total,A lot,A little,Not a lot,No influence at all,Not applicable,Don't know,NET: A lot/little,NET: Not a lot/at all
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h
,What you buy,6241,1344,2354,1185,1095,106,158,3697,2280
,,,0.22,0.38,0.19,0.18,0.02,0.03,0.59,0.37
,How you travel,6241,1561,2069,1182,1088,181,160,3630,2270
,,,0.25,0.33,0.19,0.17,0.03,0.03,0.58,0.36
,What you eat,6241,1189,2194,1310,1265,114,169,3383,2575
,,,0.19,0.35,0.21,0.2,0.02,0.03,0.54,0.41
,Where you live,6241,976,1636,1550,1604,255,219,2612,3155
,,,0.16,0.26,0.25,0.26,0.04,0.04,0.42,0.51
,Whether you have children,6241,750,852,871,1473,2132,164,1602,2344
,,,0.12,0.14,0.14,0.24,0.34,0.03,0.26,0.38
,"Columns Tested: a,b,c,d,e,f,g,h",,,,,,,,,
,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,
