Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q4b. Summary Table (NET: Equipped): To what extent do you feel equipped, if at all, to help your child/chilren aged 0 - 5, navigate the following?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All those with children aged 0 - 5 who are concerned about each statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,*a,b,c,*d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,*d,a,b,c
,Unweighted Total,762,762,312,150,572,506,403,359,0,305,455,14,65,50,25,68,41,67,54,66,102,74,136,450,312,607,40,53,56,6,154,450,306,756,6,121,226,405
,Total,755,755,311,151,569,500,396,359,0,323,430,16,63,50,24,65,39,66,58,63,99,74,138,444,312,602,40,53,55,6,153,426,324,749,6,125,223,399
,Friendships groups,328,328,146,79,254,222,162,167,0,159,168,9,26,26,9,25,20,27,28,23,34,27,74,196,132,271,14,18,24,1,57,168,158,326,2,71,97,156
,,0.63,0.63,0.7,0.76,0.64,0.64,0.58,0.68,0,0.73,0.56,0.73,0.59,0.66,0.6,0.56,0.73,0.53,0.69,0.54,0.56,0.62,0.74,0.65,0.6,0.66,0.49,0.52,0.59,0.25,0.53,0.56,0.72,0.63,0.41,0.82,0.62,0.58
,,,,,a,,,,a,,b,,,,,,,,,,,,,egij,,,f,,,,,,,ac,,,bc,,
,Emotional wellbeing and/or mental health issues,412,412,172,91,308,268,207,205,0,189,222,11,39,26,11,29,22,28,26,32,57,41,91,251,161,343,20,27,20,2,69,223,187,410,2,84,117,206
,,0.68,0.68,0.7,0.75,0.67,0.68,0.66,0.71,0,0.72,0.65,0.77,0.75,0.62,0.58,0.57,0.69,0.6,0.6,0.63,0.69,0.7,0.8,0.7,0.65,0.7,0.61,0.64,0.57,0.67,0.61,0.66,0.72,0.68,0.42,0.83,0.64,0.66
,,,,,,,,,,,b,,,,,,,,,,,,,ceghi,,,,,,,,,,,,,bc,,
,Diet or eating habits,372,372,162,83,291,237,200,172,0,165,206,11,33,25,10,25,22,23,27,28,48,33,87,217,155,306,20,22,23,1,66,205,164,369,3,71,98,198
,,0.73,0.73,0.77,0.81,0.74,0.72,0.72,0.74,0,0.76,0.7,0.83,0.71,0.71,0.6,0.59,0.82,0.54,0.72,0.71,0.7,0.75,0.88,0.73,0.73,0.74,0.67,0.67,0.7,0.5,0.68,0.71,0.75,0.73,0.76,0.82,0.66,0.74
,,,,,,,,,,,,,,,,,,,,,,,g,bceghij,,,,,,,,,,,,,b,,
,Learning development,395,395,168,86,306,250,210,184,0,181,213,10,35,22,13,29,25,32,25,26,52,41,85,247,148,310,20,28,35,2,85,213,179,392,3,73,122,197
,,0.73,0.73,0.74,0.8,0.73,0.72,0.73,0.73,0,0.77,0.7,0.82,0.71,0.57,0.72,0.6,0.81,0.66,0.7,0.63,0.77,0.78,0.85,0.76,0.68,0.73,0.65,0.73,0.84,0.42,0.74,0.7,0.76,0.73,0.76,0.8,0.72,0.72
,,,,,,,,,,,,,,,,,,c,,,,c,c,bcegi,,,,,,,,,,,,,,,
,Racism,256,256,107,63,202,160,133,123,0,129,126,6,16,15,7,15,18,25,17,14,26,27,69,143,113,204,10,13,27,2,51,126,128,254,2,69,81,104
,,0.6,0.6,0.64,0.72,0.61,0.6,0.57,0.64,0,0.65,0.55,0.56,0.55,0.42,0.44,0.41,0.76,0.62,0.67,0.5,0.52,0.68,0.77,0.61,0.59,0.64,0.4,0.34,0.68,0.5,0.48,0.56,0.65,0.6,0.41,0.74,0.59,0.55
,,,,,a,,,,,,b,,,,,,,,,,,,ce,bceij,,,cf,,,cf,,,,,,,bc,,
