Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,
,Table 88,,,,,,,,,,
,"Q6b. Summary Table: To what extent do you feel equipped, if at all, to help your child/children aged 12 - 17, navigate the following?",,,,,,,,,,
,BASE: All those with children aged 12 - 17 who are concerned about each statement,,,,,,,,,,
,,,Q6b. Scale,,,,,,,,
,,Total,Very equipped,Somewhat equipped,Neither equipped nor unequipped,Somewhat unequipped,Not at all equipped,Don't know,NET: Equipped,NET: Unequipped,Mean score
,Racism,226,55,99,35,27,6,3,155,34,3.76
,,,0.25,0.44,0.16,0.12,0.03,0.01,0.68,0.15,
,Stranger danger,279,70,118,44,29,14,4,189,42,3.74
,,,0.25,0.42,0.16,0.1,0.05,0.01,0.68,0.15,
,Inappropriate contact from adults online,305,61,142,36,42,14,8,204,56,3.66
,,,0.2,0.47,0.12,0.14,0.05,0.03,0.67,0.19,
,Educational attainment/exams,349,68,165,56,48,11,1,233,60,3.66
,,,0.19,0.47,0.16,0.14,0.03,*%,0.67,0.17,
,Drugs/alcohol,407,73,191,71,43,24,5,264,67,3.61
,,,0.18,0.47,0.17,0.11,0.06,0.01,0.65,0.16,
,Emotional wellbeing and/or mental health,484,74,239,87,61,19,4,312,81,3.59
,,,0.15,0.49,0.18,0.13,0.04,0.01,0.64,0.17,
,Bullying,459,82,210,83,58,19,6,292,77,3.62
,,,0.18,0.46,0.18,0.13,0.04,0.01,0.64,0.17,
,Sexism/misogyny,225,45,97,44,26,7,6,142,33,3.68
,,,0.2,0.43,0.2,0.11,0.03,0.03,0.63,0.14,
,Accessing inappropriate content online,333,61,149,55,47,13,8,211,60,3.61
,,,0.18,0.45,0.17,0.14,0.04,0.02,0.63,0.18,
,Sexual harassment from peers,286,59,120,58,38,8,4,178,46,3.65
,,,0.2,0.42,0.2,0.13,0.03,0.01,0.62,0.16,
,Diet or eating habits,326,60,143,71,39,10,3,203,49,3.63
,,,0.18,0.44,0.22,0.12,0.03,0.01,0.62,0.15,
,Sexual/romantic relationships,315,51,145,54,48,13,3,196,61,3.55
,,,0.16,0.46,0.17,0.15,0.04,0.01,0.62,0.19,
,Learning development,262,54,109,59,30,8,2,163,38,3.66
,,,0.21,0.41,0.23,0.11,0.03,0.01,0.62,0.14,
,Excessive screen time,448,56,223,75,74,18,3,278,92,3.5
,,,0.12,0.5,0.17,0.16,0.04,0.01,0.62,0.2,
,Sexual abuse,263,59,102,53,29,13,7,161,42,3.64
,,,0.22,0.39,0.2,0.11,0.05,0.03,0.61,0.16,
,Social media use,451,78,197,74,78,23,2,275,101,3.51
,,,0.17,0.44,0.16,0.17,0.05,*%,0.61,0.22,
,Homophobia/transphobia,205,49,76,49,22,6,4,124,28,3.69
,,,0.24,0.37,0.24,0.11,0.03,0.02,0.61,0.14,
,Sexual harassment from adults,274,54,111,56,35,12,5,166,47,3.6
,,,0.2,0.41,0.2,0.13,0.04,0.02,0.6,0.17,
,Sexual harassment from adults,258,49,96,63,33,11,6,145,44,3.55
,,,0.19,0.37,0.24,0.13,0.04,0.02,0.56,0.17,
,Friendships groups,383,54,157,94,53,21,4,211,75,3.45
,,,0.14,0.41,0.24,0.14,0.06,0.01,0.55,0.19,
,Involvement in gangs,263,55,82,50,46,27,4,136,73,3.35
,,,0.21,0.31,0.19,0.17,0.1,0.02,0.52,0.28,
,Violence in the community,312,51,110,67,56,23,5,161,79,3.36
,,,0.16,0.35,0.21,0.18,0.07,0.02,0.52,0.25,
,"Global issues such as climate change, war or terrorism",310,48,111,69,45,33,4,159,78,3.31
,,,0.15,0.36,0.22,0.15,0.11,0.01,0.51,0.25,
,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,
