Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26. Summary: Rank 1-14 - Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,Cost of living,4567,2137,2404,578,775,749,758,721,986,1353,1507,1707,614,204,435,458,416,472,752,521,694,1580,2986,1028,1523,941,659,415,2552,2015,2632,1903,3802,89,411,165,78,2870,1643,937,823,4109,370,2765,1636,3293,1211,2239,673,897,669,1728,2661,1753,2625,1770
,,0.73,0.71,0.75,0.7,0.74,0.75,0.75,0.75,0.7,0.73,0.75,0.72,0.75,0.7,0.71,0.71,0.77,0.74,0.73,0.75,0.72,0.73,0.73,0.72,0.73,0.76,0.71,0.75,0.73,0.74,0.74,0.73,0.74,0.68,0.74,0.68,0.6,0.72,0.76,0.77,0.77,0.73,0.76,0.73,0.74,0.74,0.73,0.72,0.69,0.73,0.74,0.74,0.73,0.74,0.75,0.71
,,,,a,,f,af,af,af,,,afi,,,,,,bcdi,,,,,,,,,adf,,,,,,,de,,,,,,a,a,a,,,,,,,b,,b,b,b,,,b,
,Rent prices,4083,1925,2133,493,689,632,647,666,956,1182,1279,1622,526,173,380,415,353,434,687,471,644,1363,2720,921,1350,826,619,367,2271,1811,2363,1694,3440,85,326,141,77,2575,1462,820,736,3678,337,2447,1493,2905,1124,1953,609,780,563,1577,2353,1598,2304,1625
,,0.65,0.64,0.67,0.6,0.66,0.63,0.64,0.69,0.68,0.63,0.64,0.69,0.64,0.59,0.62,0.64,0.65,0.68,0.67,0.68,0.67,0.63,0.67,0.65,0.65,0.66,0.66,0.66,0.65,0.66,0.66,0.65,0.67,0.65,0.58,0.58,0.59,0.64,0.68,0.67,0.69,0.65,0.69,0.64,0.68,0.65,0.67,0.63,0.62,0.63,0.63,0.67,0.65,0.67,0.66,0.65
,,,,a,,a,,,acdgh,acgh,,,acdgh,,,,,,bc,bc,bc,b,,a,,,,,,,,,,cd,,,,,,a,a,a,,,,a,,,,,,,abcd,,a,,
,Getting on the housing ladder,3910,1816,2074,401,591,577,634,686,1020,993,1211,1706,504,165,400,387,335,439,652,495,533,1219,2691,924,1352,776,537,321,2276,1634,2282,1612,3443,67,233,103,49,2488,1376,747,708,3549,308,2362,1417,2806,1052,1799,558,734,507,1561,2255,1532,2121,1641
,,0.63,0.6,0.65,0.49,0.57,0.58,0.63,0.71,0.73,0.53,0.6,0.72,0.62,0.56,0.65,0.6,0.62,0.69,0.64,0.71,0.55,0.57,0.66,0.65,0.65,0.62,0.58,0.58,0.65,0.6,0.64,0.62,0.67,0.52,0.42,0.43,0.38,0.62,0.64,0.61,0.66,0.63,0.63,0.62,0.64,0.63,0.63,0.58,0.57,0.6,0.56,0.67,0.62,0.64,0.61,0.66
,,,,a,,a,ag,abcg,abcdgh,abcdgh,a,ag,abcdgh,i,,bdi,,i,abdegi,bi,abcdegi,,,a,deg,deg,d,,,deg,,,,bcde,cd,,,,,,,ac,,,,,,,,,,,abcd,,,,a
,Youth violence (incl. knife crime),3809,1734,2055,523,623,579,606,622,857,1145,1184,1479,514,177,375,399,325,365,593,421,639,1382,2426,824,1285,755,582,362,2109,1700,2266,1522,3159,84,341,133,74,2367,1392,793,697,3435,304,2244,1425,2707,1046,1830,547,747,536,1453,2169,1511,2132,1525
,,0.61,0.58,0.64,0.64,0.6,0.58,0.6,0.65,0.61,0.61,0.59,0.62,0.63,0.6,0.61,0.62,0.6,0.57,0.58,0.6,0.66,0.64,0.59,0.58,0.62,0.61,0.62,0.65,0.6,0.62,0.63,0.58,0.61,0.64,0.61,0.55,0.57,0.59,0.65,0.65,0.65,0.61,0.62,0.59,0.65,0.6,0.63,0.59,0.56,0.61,0.6,0.62,0.6,0.64,0.61,0.61
,,,,a,ch,,,,bcdh,,c,,ch,fg,,,,,,,,efgh,b,,,a,,a,af,,a,b,,d,d,,,,,a,a,a,,,,a,,,,,b,,ab,,a,,
,Poor mental health,3800,1626,2148,574,703,627,612,566,719,1277,1238,1285,520,174,368,384,318,392,635,442,566,1333,2468,836,1265,766,550,384,2101,1699,2173,1601,3138,87,319,140,97,2280,1476,904,694,3367,361,2241,1439,2727,1019,1887,546,784,557,1398,2211,1465,2235,1422
,,0.61,0.54,0.67,0.7,0.68,0.62,0.61,0.59,0.51,0.69,0.62,0.54,0.64,0.59,0.6,0.59,0.59,0.61,0.62,0.63,0.59,0.62,0.6,0.59,0.61,0.62,0.59,0.69,0.6,0.62,0.61,0.61,0.61,0.67,0.57,0.58,0.75,0.57,0.68,0.74,0.65,0.6,0.74,0.59,0.65,0.61,0.61,0.61,0.56,0.64,0.62,0.6,0.61,0.62,0.64,0.57
,,,,a,cdefhi,cdefhi,fi,fi,fi,,cdefhi,fi,,i,,,,,,,i,,,,,,,,abcdfg,,a,,,,cd,,,cd,,a,abd,a,,a,,a,,,b,,be,b,b,,,b,
,Negative impact of social media,3596,1578,2000,456,622,569,562,565,822,1078,1131,1387,487,168,356,345,312,378,612,410,528,1218,2378,863,1237,708,469,320,2099,1497,2025,1553,2999,77,297,143,69,2268,1287,731,649,3246,281,2153,1325,2590,961,1748,549,703,496,1345,2096,1386,2047,1416
,,0.58,0.52,0.62,0.55,0.6,0.57,0.56,0.59,0.58,0.58,0.56,0.59,0.6,0.57,0.58,0.53,0.58,0.59,0.6,0.59,0.55,0.56,0.58,0.6,0.59,0.57,0.5,0.58,0.6,0.55,0.57,0.6,0.58,0.59,0.53,0.59,0.53,0.57,0.6,0.6,0.61,0.58,0.58,0.57,0.6,0.58,0.58,0.56,0.56,0.57,0.55,0.57,0.58,0.58,0.59,0.57
,,,,a,,h,,,,,,,,di,,,,,d,di,d,,,,dg,dg,d,,d,dg,d,,a,c,,,,,,a,a,a,,,,a,,,,,,,,,,,
,A lack of opportunities,3566,1631,1911,460,593,552,592,566,802,1054,1144,1368,471,183,359,372,310,378,576,401,517,1233,2333,774,1174,742,520,356,1949,1617,2084,1464,2976,70,309,123,71,2228,1288,733,665,3210,290,2122,1331,2554,963,1736,517,710,508,1353,2043,1404,2043,1389
,,0.57,0.54,0.6,0.56,0.57,0.55,0.59,0.59,0.57,0.57,0.57,0.58,0.58,0.62,0.59,0.58,0.57,0.59,0.56,0.57,0.53,0.57,0.57,0.54,0.56,0.6,0.56,0.64,0.55,0.59,0.58,0.56,0.58,0.54,0.55,0.51,0.55,0.56,0.6,0.6,0.62,0.57,0.6,0.56,0.61,0.57,0.58,0.56,0.53,0.58,0.56,0.58,0.56,0.59,0.59,0.56
,,,,a,,,,,c,,,,,,i,i,,,i,,,,,,,,af,,abdf,,abf,,,d,,,,,,a,a,a,,,,a,,,,,b,,b,,a,b,
,"Lack of high quality, well-paid jobs",3454,1612,1816,463,579,518,531,548,816,1042,1049,1364,446,174,361,365,312,367,543,380,505,1216,2238,757,1166,708,510,313,1924,1530,1981,1451,2880,72,295,134,58,2151,1257,694,636,3089,304,2050,1286,2463,952,1640,516,661,463,1367,1981,1360,1980,1355
,,0.55,0.54,0.57,0.56,0.56,0.52,0.53,0.57,0.58,0.56,0.52,0.58,0.55,0.59,0.59,0.56,0.58,0.57,0.53,0.55,0.52,0.56,0.55,0.53,0.56,0.57,0.55,0.56,0.55,0.56,0.55,0.56,0.56,0.55,0.53,0.55,0.45,0.54,0.58,0.57,0.6,0.55,0.63,0.54,0.59,0.55,0.57,0.53,0.53,0.54,0.51,0.58,0.54,0.57,0.57,0.54
,,,,a,c,c,,,ch,cdh,ch,,cdh,,i,gi,,i,i,,,,,,,,a,,,,,,,,,,,,,a,a,a,,a,,a,,,,,,,abcd,,a,,
,Body image pressures,3211,1367,1825,450,541,498,476,528,718,990,974,1246,445,147,319,320,274,345,527,375,459,1065,2146,734,1077,631,467,302,1810,1400,1850,1346,2697,67,255,105,74,1975,1195,689,593,2887,265,1912,1198,2294,877,1536,478,621,438,1234,1861,1244,1833,1257
,,0.51,0.45,0.57,0.55,0.52,0.5,0.47,0.55,0.51,0.53,0.48,0.53,0.55,0.5,0.52,0.49,0.5,0.54,0.51,0.54,0.47,0.49,0.53,0.51,0.52,0.51,0.5,0.55,0.52,0.51,0.52,0.52,0.52,0.51,0.46,0.43,0.57,0.49,0.55,0.57,0.56,0.51,0.54,0.5,0.54,0.51,0.53,0.49,0.49,0.5,0.49,0.53,0.51,0.52,0.53,0.5
,,,,a,cdh,d,,,cdh,,dh,,dh,i,,,,,i,,i,,,a,,,,,,,,,,cd,d,,,,,a,a,a,,,,a,,,,,,,abd,,,,
,A lack of spaces to go,2991,1330,1643,384,504,462,499,479,664,888,961,1143,407,146,304,298,245,315,490,334,451,1050,1941,654,998,578,447,314,1652,1339,1761,1209,2541,59,232,93,53,1820,1135,650,588,2683,256,1785,1111,2145,807,1403,441,575,387,1162,1718,1172,1707,1175
,,0.48,0.44,0.51,0.47,0.48,0.46,0.5,0.5,0.47,0.48,0.48,0.48,0.5,0.5,0.5,0.46,0.45,0.49,0.48,0.48,0.47,0.49,0.48,0.46,0.48,0.47,0.48,0.57,0.47,0.49,0.49,0.46,0.49,0.45,0.42,0.38,0.41,0.45,0.53,0.53,0.55,0.48,0.53,0.47,0.51,0.48,0.48,0.45,0.45,0.47,0.43,0.5,0.47,0.49,0.49,0.47
,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,abcdfg,,a,b,,cd,,,,,,a,a,a,,a,,a,,,,,,,abd,,,,
,Growing wealth gap between older and younger generations,2895,1341,1535,377,513,439,430,464,672,890,869,1136,380,134,285,291,242,320,470,327,447,975,1921,698,977,566,393,262,1675,1220,1633,1249,2413,63,244,102,62,1786,1071,617,537,2583,258,1735,1069,2075,783,1377,444,538,395,1121,1702,1103,1702,1102
