Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Homeless and Police PR - W184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q2. Which of the following is closest to your view?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2235,1055,1175,249,394,308,385,386,513,643,693,899,52,165,248,106,214,136,240,178,190,276,156,274,1882,578,466,308,873,696,558,111,39,35,55,13,44,522,811,716,593
,Total,2235,1088,1142,248,387,358,396,331,516,635,753,847,67,189,249,91,182,108,193,158,193,304,208,293,1871,608,626,451,541,707,552,112,35,38,58,7,56,507,788,750,593
,Homelessness is a lifestyle choice,348,190,156,46,77,63,41,37,84,123,104,121,8,24,40,17,23,14,37,29,33,40,31,51,302,106,90,74,78,140,55,16,6,1,10,0,6,89,143,72,119
,,0.16,0.17,0.14,0.19,0.2,0.18,0.1,0.11,0.16,0.19,0.14,0.14,0.12,0.13,0.16,0.18,0.13,0.12,0.19,0.18,0.17,0.13,0.15,0.18,0.16,0.17,0.14,0.16,0.14,0.2,0.1,0.14,0.17,0.04,0.17,0,0.1,0.17,0.18,0.1,0.2
,,,b,,de,dehi,de,,,de,dehi,,,,,,,,,,,,,,,,,,,,be,,,,,,,,be,b,,b
,Homelessness is not a lifestyle choice,1675,811,860,184,273,276,313,258,371,458,589,629,54,149,186,62,140,76,142,118,149,235,152,213,1396,448,486,336,401,481,472,89,26,32,46,6,45,366,556,621,423
,,0.75,0.75,0.75,0.74,0.71,0.77,0.79,0.78,0.72,0.72,0.78,0.74,0.8,0.79,0.75,0.68,0.77,0.7,0.74,0.75,0.77,0.77,0.73,0.73,0.75,0.74,0.78,0.75,0.74,0.68,0.85,0.79,0.74,0.84,0.81,0.8,0.8,0.72,0.71,0.83,0.71
,,,,,,,,bfg,bfg,,,bfg,,,d,,,,,,,,,,,,,,,,,ai,a,,,,,,,,ac,
,Don't know,212,87,125,17,37,19,41,36,61,54,60,98,5,15,23,13,19,19,14,11,10,28,25,29,172,54,50,41,61,86,25,8,3,5,1,1,6,52,89,57,51
,,0.09,0.08,0.11,0.07,0.09,0.05,0.1,0.11,0.12,0.09,0.08,0.12,0.08,0.08,0.09,0.14,0.1,0.18,0.07,0.07,0.05,0.09,0.12,0.1,0.09,0.09,0.08,0.09,0.11,0.12,0.05,0.07,0.09,0.12,0.02,0.2,0.1,0.1,0.11,0.08,0.09
,,,,a,,c,,c,c,ach,,,ach,,,,gi,,bcghijlm,,,,,i,,,,,,,bf,,,,b,,,,b,b,,
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b,c,d,e,f,g,h,i - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
