Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,BBC 5Live - December 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q3. To what extent, if at all, has anti-social behaviour in your local area had a negative impact on your mental health?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,Regions,,,,,,,,,,,,,Social grade,,,,Education,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Non-graduates,Graduates
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b
,Unweighted Total,2300,1115,1172,272,362,322,366,466,509,634,688,975,34,169,259,112,226,138,229,166,189,336,165,277,1959,587,485,313,896,1167,1067
,Total,2300,1117,1172,252,393,364,402,336,525,645,766,861,69,194,257,94,187,112,198,163,198,312,214,301,1925,623,641,463,554,1090,1111
,A significant impact,160,56,98,25,37,36,24,20,12,63,59,32,2,7,14,5,10,10,19,16,10,17,11,37,140,56,46,25,32,55,90
