Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q2. How important, if at all, is it to you that you feel part of your local community?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Very important,2220,1162,1049,310,437,349,308,310,506,747,657,816,812,1408,613,632,464,344,166,1246,974,1126,1078,1705,54,254,136,60,1426,777,434,378,2021,148,2057,153,2220,0,1642,746,523,373,364,1956,239,1516,656
,,0.25,0.27,0.23,0.26,0.29,0.24,0.21,0.22,0.25,0.28,0.23,0.24,0.26,0.24,0.31,0.21,0.26,0.25,0.2,0.25,0.24,0.22,0.29,0.22,0.32,0.36,0.45,0.38,0.25,0.25,0.24,0.24,0.25,0.21,0.37,0.05,0.34,0,0.37,0.53,0.29,0.29,0.11,0.37,0.07,0.3,0.18
,,,b,,deh,cdefhi,d,,,d,cdefhi,,,b,,bcdefg,,be,be,,be,be,,a,,a,a,abc,a,,,,,b,,b,,b,,cde,acde,e,e,,b,,b,
,Fairly important,4246,1967,2262,532,699,710,693,671,941,1231,1403,1612,1355,2891,977,1533,843,605,289,2509,1737,2380,1843,3651,69,320,117,75,2805,1398,787,680,3844,340,3155,992,4246,0,2266,526,1035,705,1346,2795,1354,2418,1706
,,0.47,0.46,0.49,0.45,0.47,0.5,0.48,0.48,0.46,0.46,0.49,0.47,0.44,0.49,0.49,0.52,0.47,0.44,0.35,0.51,0.43,0.46,0.49,0.48,0.41,0.45,0.38,0.47,0.49,0.45,0.44,0.44,0.48,0.48,0.57,0.32,0.66,0,0.51,0.37,0.58,0.55,0.4,0.53,0.4,0.48,0.47
,,,,a,,,afgi,,,,,,,,a,deg,acdeg,eg,e,,cdeg,e,,a,bd,,d,,,bcd,,,,,,b,,b,,be,,abe,abe,,b,,,
,Not very important,1616,727,873,237,241,241,273,260,363,478,514,623,585,1031,272,544,343,246,209,817,799,1013,581,1424,29,104,36,19,980,608,336,301,1434,147,273,1197,0,1616,427,97,178,152,995,389,1121,706,819
,,0.18,0.17,0.19,0.2,0.16,0.17,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.14,0.18,0.19,0.18,0.25,0.16,0.2,0.2,0.15,0.19,0.17,0.15,0.12,0.12,0.17,0.19,0.19,0.19,0.18,0.21,0.05,0.38,0,0.68,0.1,0.07,0.1,0.12,0.29,0.07,0.33,0.14,0.23
,,,,a,bc,,,,,,,,,,,,af,af,a,abcdfg,a,af,b,,cd,d,,,,,a,,a,,a,,a,,a,b,,b,ab,abcd,,a,,a
