Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26. Summary: Rank 1-14 - Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Cost of living,6610,3088,3487,827,1115,1075,1090,1055,1449,1942,2164,2503,2285,4325,1461,2180,1371,978,620,3642,2968,3788,2776,5642,115,527,205,99,4143,2390,1364,1190,5954,536,4041,2329,4792,1732,3230,975,1309,946,2505,3888,2500,3777,2597
,,0.74,0.72,0.76,0.7,0.75,0.75,0.75,0.75,0.71,0.73,0.75,0.73,0.74,0.74,0.73,0.74,0.76,0.72,0.75,0.73,0.74,0.74,0.74,0.74,0.69,0.74,0.67,0.62,0.72,0.76,0.77,0.77,0.74,0.76,0.73,0.75,0.74,0.73,0.72,0.69,0.73,0.74,0.74,0.74,0.74,0.76,0.72
,,,,a,,af,af,af,afi,,,afgi,,,,,,ad,,,,,,,bde,,d,,,,a,a,a,,,,,,,b,,b,b,b,,,b,
,Rent prices,5863,2756,3072,706,977,896,932,959,1392,1684,1828,2352,1969,3894,1299,1920,1206,897,541,3219,2644,3371,2456,5047,110,418,173,99,3695,2105,1171,1057,5282,485,3560,2093,4197,1591,2812,880,1136,797,2254,3419,2252,3301,2352
,,0.65,0.64,0.67,0.6,0.66,0.63,0.64,0.69,0.68,0.63,0.64,0.68,0.64,0.66,0.65,0.65,0.67,0.66,0.65,0.65,0.66,0.66,0.65,0.66,0.65,0.59,0.57,0.62,0.65,0.67,0.66,0.68,0.65,0.68,0.65,0.67,0.65,0.67,0.63,0.63,0.64,0.63,0.67,0.65,0.67,0.66,0.65
,,,,a,,a,,a,acdgh,acdgh,,,acdgh,,a,,,,,,,,,,cd,d,,,,,a,,a,,,,a,,,,,,,abcd,,a,,
,Getting on the housing ladder,5673,2650,2997,577,859,828,920,1000,1491,1435,1747,2490,1788,3885,1312,1922,1156,796,487,3234,2439,3288,2362,5083,87,299,126,63,3603,2008,1087,1029,5153,443,3477,2002,4104,1498,2622,818,1075,729,2252,3319,2176,3078,2394
,,0.63,0.61,0.65,0.49,0.58,0.58,0.64,0.71,0.73,0.54,0.61,0.72,0.58,0.66,0.65,0.65,0.64,0.58,0.59,0.65,0.61,0.64,0.63,0.67,0.52,0.42,0.42,0.39,0.63,0.64,0.61,0.67,0.64,0.62,0.63,0.64,0.63,0.63,0.59,0.58,0.6,0.57,0.67,0.63,0.65,0.62,0.66
,,,,a,,ag,ag,abcg,abcdgh,abcdgh,a,abcg,abcdgh,,a,deg,deg,deg,,,deg,,,,bcde,cd,,,,,,,ac,,,,,,,,,,,abcd,,,,a
,Poor mental health,5527,2362,3132,818,1020,902,895,843,1050,1837,1797,1893,1950,3577,1185,1813,1123,830,576,2998,2530,3146,2341,4691,112,408,172,123,3308,2155,1322,1007,4907,520,3299,2043,3992,1459,2741,806,1139,796,2027,3253,2094,3237,2087
,,0.62,0.55,0.68,0.7,0.69,0.63,0.62,0.6,0.51,0.69,0.63,0.55,0.63,0.61,0.59,0.61,0.62,0.61,0.69,0.6,0.63,0.61,0.62,0.62,0.67,0.57,0.57,0.77,0.58,0.69,0.75,0.65,0.61,0.73,0.6,0.66,0.62,0.61,0.61,0.57,0.64,0.63,0.6,0.62,0.62,0.65,0.58
,,,,a,cdefhi,cdefhi,fi,fi,fi,,cdefhi,fi,f,,,,,,,abcdfg,,af,,,cd,cd,,,acd,,ad,abd,a,,a,,a,,,b,,be,b,,,,b,
,Youth violence (incl. knife crime),5377,2437,2913,731,869,811,857,885,1224,1600,1668,2109,1972,3405,1139,1775,1087,843,533,2914,2463,3187,2159,4566,106,433,163,90,3330,1979,1129,986,4851,431,3188,1987,3827,1472,2573,779,1052,741,2055,3077,2118,3013,2156
,,0.6,0.56,0.63,0.62,0.58,0.57,0.59,0.63,0.6,0.6,0.58,0.61,0.64,0.58,0.57,0.6,0.6,0.62,0.64,0.59,0.61,0.62,0.57,0.6,0.63,0.61,0.54,0.56,0.58,0.63,0.64,0.64,0.6,0.61,0.58,0.64,0.59,0.62,0.58,0.55,0.59,0.58,0.61,0.58,0.63,0.6,0.59
,,,,a,ch,,,,bcdgh,,c,,bch,b,,,a,a,a,abf,,af,b,,d,d,d,,,,a,a,a,,,,a,,a,,,b,,ab,,a,,
,Negative impact of social media,5204,2281,2903,649,893,826,825,818,1192,1543,1651,2010,1769,3435,1231,1756,1029,703,485,2987,2217,2907,2268,4442,100,382,177,90,3278,1867,1065,935,4702,408,3138,1887,3762,1378,2519,794,1024,701,1957,3058,1984,2941,2079
,,0.58,0.53,0.63,0.55,0.6,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.57,0.58,0.61,0.59,0.57,0.51,0.58,0.6,0.55,0.57,0.6,0.58,0.6,0.54,0.58,0.56,0.57,0.6,0.6,0.61,0.58,0.57,0.57,0.61,0.58,0.58,0.56,0.57,0.57,0.55,0.58,0.58,0.59,0.59,0.57
,,,,a,,a,,,,,,,,,,cdg,dg,d,,d,cdg,d,,a,c,,,,,,a,a,a,,,,a,,,,,,,,,,,
,A lack of opportunities,5177,2361,2786,660,846,802,861,837,1172,1505,1663,2008,1801,3376,1104,1679,1091,763,539,2783,2394,3010,2139,4429,93,395,154,86,3216,1892,1078,971,4657,427,3117,1886,3727,1381,2511,761,1029,722,1961,2984,2021,2955,2032
,,0.58,0.55,0.6,0.56,0.57,0.56,0.6,0.6,0.57,0.57,0.58,0.58,0.58,0.57,0.55,0.57,0.6,0.56,0.65,0.56,0.6,0.59,0.57,0.58,0.55,0.55,0.51,0.54,0.56,0.6,0.61,0.63,0.58,0.6,0.56,0.6,0.58,0.58,0.56,0.54,0.58,0.57,0.58,0.57,0.6,0.59,0.56
,,,,a,,,,,cg,,,,,,,,,abdf,,abcdfg,,abdf,,,d,,,,,,a,a,a,,,,a,,,,,b,,b,,a,b,
,"Lack of high quality, well-paid jobs",5013,2339,2640,661,825,737,779,813,1198,1486,1516,2011,1759,3254,1088,1666,1042,748,468,2754,2259,2870,2111,4289,92,377,165,73,3116,1831,1006,925,4490,437,3016,1822,3603,1355,2392,766,969,657,1966,2912,1941,2862,1983
,,0.56,0.54,0.57,0.56,0.55,0.52,0.54,0.58,0.59,0.56,0.53,0.58,0.57,0.55,0.54,0.56,0.58,0.55,0.56,0.55,0.56,0.56,0.56,0.56,0.55,0.53,0.54,0.46,0.54,0.58,0.57,0.6,0.56,0.62,0.55,0.58,0.56,0.57,0.54,0.55,0.54,0.52,0.58,0.55,0.58,0.57,0.55
,,,,a,c,c,,,cdh,cdh,ch,,bcdgh,,,,,a,,,,,,,,,,,,,a,,a,,a,,a,,,,,,,abcd,,a,b,
,Body image pressures,4664,1980,2662,639,783,727,696,770,1049,1422,1423,1819,1559,3106,1044,1544,934,693,449,2588,2076,2673,1968,4019,87,326,129,90,2862,1744,1008,862,4195,388,2813,1695,3357,1250,2236,698,915,623,1782,2731,1781,2658,1836
,,0.52,0.46,0.58,0.54,0.53,0.51,0.48,0.55,0.51,0.53,0.5,0.53,0.5,0.53,0.52,0.52,0.52,0.51,0.54,0.52,0.52,0.52,0.52,0.53,0.52,0.46,0.43,0.56,0.5,0.56,0.57,0.56,0.52,0.55,0.51,0.54,0.52,0.53,0.5,0.5,0.51,0.49,0.53,0.52,0.53,0.53,0.51
,,,,a,dh,dh,,,cdfh,,dh,,dh,,a,,,,,,,,,,cd,d,,,,,a,a,a,,,,a,,,,,,,abd,,,b,
,A lack of spaces to go,4335,1916,2400,552,721,675,719,698,971,1273,1394,1669,1535,2801,932,1429,857,652,465,2360,1975,2526,1778,3767,78,297,115,65,2633,1649,940,850,3892,373,2610,1585,3129,1150,2038,640,841,556,1673,2508,1683,2477,1708
,,0.48,0.44,0.52,0.47,0.48,0.47,0.5,0.5,0.48,0.48,0.49,0.49,0.5,0.48,0.46,0.48,0.47,0.48,0.56,0.48,0.49,0.49,0.47,0.5,0.46,0.42,0.38,0.41,0.46,0.53,0.53,0.55,0.48,0.53,0.47,0.51,0.48,0.48,0.46,0.46,0.47,0.44,0.5,0.48,0.5,0.5,0.47
,,,,a,,,,,,,,,,,,,,,,abcdfg,,a,b,,cd,d,,,,,a,a,a,,a,,a,,,,,d,,abd,,a,b,
,Growing wealth gap between older and younger generations,4180,1952,2204,539,731,627,620,670,994,1269,1247,1664,1413,2767,992,1388,826,580,394,2380,1800,2335,1824,3570,81,315,127,76,2577,1550,887,778,3730,375,2530,1509,3011,1116,1987,649,783,555,1616,2479,1570,2449,1604
,,0.47,0.45,0.48,0.46,0.49,0.44,0.43,0.48,0.49,0.48,0.43,0.48,0.46,0.47,0.49,0.47,0.46,0.42,0.47,0.48,0.45,0.46,0.48,0.47,0.48,0.44,0.42,0.48,0.45,0.49,0.5,0.5,0.46,0.53,0.46,0.48,0.47,0.47,0.45,0.46,0.44,0.44,0.48,0.47,0.47,0.49,0.44
,,,,a,,cdh,,,cdh,cdh,cdh,,cdh,,,cdg,d,,,d,dg,,,a,d,,,,,,a,a,a,,a,,a,,,,,,,acd,,,b,
,Climate change,3970,1879,2068,515,646,572,615,667,955,1162,1187,1621,1351,2619,925,1314,760,587,384,2239,1731,2263,1690,3439,66,289,101,64,2493,1429,806,734,3537,357,2421,1413,2871,1050,1890,647,759,485,1525,2350,1478,2500,1350
,,0.44,0.44,0.45,0.44,0.43,0.4,0.43,0.48,0.47,0.44,0.41,0.47,0.44,0.45,0.46,0.44,0.42,0.43,0.46,0.45,0.43,0.44,0.45,0.45,0.39,0.41,0.33,0.4,0.44,0.46,0.45,0.48,0.44,0.5,0.44,0.45,0.44,0.44,0.42,0.46,0.43,0.38,0.45,0.45,0.44,0.5,0.37
,,,,,,c,,,bcdgh,cdh,c,,bcdgh,,,cg,,,,,c,,,,cd,,d,,,,,,a,,a,,,,,d,acd,d,,ad,,,b,
,Other,49,30,18,0,4,6,11,8,20,4,16,29,16,33,12,20,10,3,4,32,18,19,28,47,1,2,0,0,35,15,11,10,47,0,27,19,28,18,16,4,10,1,25,17,31,12,37
,,0.01,0.01,*%,0,*%,*%,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,*%,*%,0.01,0.01,*%,*%,0,0,0.01,*%,0.01,0.01,0.01,0,*%,0.01,*%,0.01,*%,*%,0.01,*%,0.01,*%,0.01,*%,0.01
,,,,,,,,ag,ag,abcg,,ag,abg,,,,,,,,,,,a,,,,,,,,,,b,,,,,,,,d,,ad,,a,,a
