Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q9_W3.5. Education opportunities: How well do you think your local community is faring in each of the following areas?By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Very well,1352,667,677,315,266,198,147,147,279,581,345,427,456,896,346,431,286,190,99,777,575,701,638,1012,38,170,91,38,906,431,252,192,1199,106,1081,237,1164,176,904,390,317,198,335,1098,232,813,504
,,0.15,0.15,0.15,0.27,0.18,0.14,0.1,0.11,0.14,0.22,0.12,0.12,0.15,0.15,0.17,0.15,0.16,0.14,0.12,0.16,0.14,0.14,0.17,0.13,0.23,0.24,0.3,0.24,0.16,0.14,0.14,0.12,0.15,0.15,0.2,0.08,0.18,0.07,0.2,0.28,0.18,0.16,0.1,0.21,0.07,0.16,0.14
,,,,,bcdefghi,cdefhi,de,,,de,bcdefhi,,d,,,bdeg,,e,,,e,,,a,,a,a,abc,a,bd,,,,,,b,,b,,cde,acde,e,e,,b,,b,
,Fairly well,4711,2269,2415,568,771,721,756,751,1145,1339,1476,1896,1482,3229,1091,1582,970,721,347,2673,2038,2691,1994,4033,80,369,148,63,3114,1542,815,745,4279,352,3028,1524,3515,1149,2332,696,943,692,1761,2868,1707,2651,1924
,,0.52,0.53,0.52,0.48,0.52,0.5,0.52,0.54,0.56,0.5,0.51,0.55,0.48,0.55,0.54,0.53,0.54,0.53,0.42,0.54,0.51,0.52,0.53,0.53,0.48,0.52,0.49,0.4,0.54,0.49,0.46,0.48,0.53,0.5,0.55,0.49,0.54,0.48,0.52,0.5,0.53,0.54,0.52,0.54,0.51,0.53,0.53
,,,,,,,,,ag,abcdgh,,,abcgh,,a,eg,eg,e,e,,eg,e,,,,,,,,bcd,c,,,,,b,,b,,,,,b,,b,,,
,Not very well,1720,829,884,195,302,330,328,266,299,497,658,565,713,1007,377,550,347,252,194,927,793,959,744,1471,33,120,46,47,1007,696,419,345,1535,156,925,743,1173,522,851,208,375,267,658,857,814,974,693
,,0.19,0.19,0.19,0.17,0.2,0.23,0.23,0.19,0.15,0.19,0.23,0.16,0.23,0.17,0.19,0.19,0.19,0.18,0.23,0.19,0.2,0.19,0.2,0.19,0.2,0.17,0.15,0.29,0.18,0.22,0.24,0.22,0.19,0.22,0.17,0.24,0.18,0.22,0.19,0.15,0.21,0.21,0.2,0.16,0.24,0.19,0.19
,,,,,,afi,abefgi,aefgi,fi,,fi,abefgi,,b,,,,,,abcdfg,,,,,d,,,,cd,,a,a,a,,,,a,,a,b,,b,b,b,,a,,
,Not at all well,470,210,256,62,86,96,84,60,82,148,180,142,215,255,77,143,92,74,84,219,250,285,179,418,10,25,7,8,240,215,150,120,413,43,197,263,261,200,204,47,91,66,221,177,272,263,171
,,0.05,0.05,0.06,0.05,0.06,0.07,0.06,0.04,0.04,0.06,0.06,0.04,0.07,0.04,0.04,0.05,0.05,0.05,0.1,0.04,0.06,0.06,0.05,0.06,0.06,0.03,0.02,0.05,0.04,0.07,0.08,0.08,0.05,0.06,0.04,0.08,0.04,0.08,0.05,0.03,0.05,0.05,0.07,0.03,0.08,0.05,0.05
,,,,,,efi,efi,fi,,,fi,efi,,b,,,,a,a,abcdfg,,abf,,,d,d,,,,,a,ab,a,,,,a,,a,b,,b,b,abc,,a,,
,Don't know,723,340,381,33,63,83,133,174,237,96,215,411,231,492,114,257,117,130,105,371,352,491,219,664,6,30,12,4,459,254,138,143,657,53,286,351,353,332,168,62,55,50,397,278,343,293,332
,,0.08,0.08,0.08,0.03,0.04,0.06,0.09,0.12,0.12,0.04,0.07,0.12,0.07,0.08,0.06,0.09,0.06,0.09,0.13,0.07,0.09,0.1,0.06,0.09,0.03,0.04,0.04,0.02,0.08,0.08,0.08,0.09,0.08,0.07,0.05,0.11,0.05,0.14,0.04,0.04,0.03,0.04,0.12,0.05,0.1,0.06,0.09
,,,,,,,abg,abcg,abcdgh,abcdgh,,abcg,abcdgh,,,,acf,,acf,abcdfg,a,acf,b,,bcd,,,,,,,,,,,,a,,a,,c,,,abcd,,a,,a
,NET: Well,6063,2936,3092,883,1037,918,903,898,1424,1920,1821,2322,1938,4125,1437,2013,1255,912,446,3450,2613,3392,2633,5045,119,538,239,101,4020,1973,1068,937,5478,458,4109,1761,4679,1325,3236,1086,1260,890,2096,3966,1938,3465,2428
,,0.68,0.68,0.67,0.75,0.7,0.64,0.62,0.64,0.7,0.72,0.63,0.67,0.63,0.7,0.72,0.68,0.69,0.67,0.54,0.69,0.65,0.66,0.7,0.66,0.71,0.76,0.79,0.63,0.7,0.63,0.6,0.61,0.68,0.65,0.74,0.56,0.72,0.56,0.73,0.77,0.71,0.7,0.62,0.75,0.58,0.69,0.67
,,,,,bcdefhi,cdeh,,,,cdeh,cdehi,,cdeh,,a,bdefg,eg,eg,e,,eg,e,,a,,,a,abe,,bcd,,,,,,b,,b,,e,acde,e,e,,b,,b,
,NET: Not well,2190,1040,1140,257,388,426,412,326,381,645,838,707,928,1262,454,692,439,326,279,1147,1043,1244,923,1889,43,145,53,55,1247,911,569,465,1949,199,1122,1005,1434,722,1055,255,466,333,879,1035,1086,1237,864
,,0.24,0.24,0.25,0.22,0.26,0.3,0.28,0.23,0.19,0.24,0.29,0.21,0.3,0.21,0.23,0.23,0.24,0.24,0.34,0.23,0.26,0.24,0.24,0.25,0.26,0.2,0.17,0.34,0.22,0.29,0.32,0.3,0.24,0.28,0.2,0.32,0.22,0.3,0.24,0.18,0.26,0.26,0.26,0.2,0.32,0.25,0.24
,,,,,,afi,abefgi,aefgi,fi,,fi,abefgi,,b,,,,,,abcdfg,,abf,,,cd,d,,,cd,,a,ab,a,,a,,a,,a,b,,ab,b,ab,,a,,
