Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,Homeless and Police PR - W184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q1. Summary Not a problem: To what extent would you say that homelessness is, or is not, a problem in each of the following areas?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Male,Female,18-24,25-34,35-44,45-54,55-64,65+,NET: 18-34,NET: 35-54,NET: 55+,Northern Ireland,Scotland,North-West,North-East,Yorkshire and the Humber,Wales,West Midlands,East Midlands,South-West,South-East,Eastern,London,NET: England,AB,C1,C2,DE,Conservative,Labour,Liberal Democrat,The Brexit Party,Green,SNP,Plaid Cymru,Another party,Did not vote,Leave,Remain,Did not vote
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,j,k,l,m,a,b,c,d,a,b,c,d,e,f,*g,h,i,a,b,c
,Unweighted Total,2235,1055,1175,249,394,308,385,386,513,643,693,899,52,165,248,106,214,136,240,178,190,276,156,274,1882,578,466,308,873,696,558,111,39,35,55,13,44,522,811,716,593
,Total,2235,1088,1142,248,387,358,396,331,516,635,753,847,67,189,249,91,182,108,193,158,193,304,208,293,1871,608,626,451,541,707,552,112,35,38,58,7,56,507,788,750,593
,In your neighbourhood,1250,646,601,134,180,172,208,211,345,314,380,556,38,126,137,53,104,68,106,90,107,171,110,140,1018,332,350,242,319,444,287,65,18,20,37,4,34,273,464,425,323
,,0.56,0.59,0.53,0.54,0.46,0.48,0.53,0.64,0.67,0.49,0.5,0.66,0.57,0.67,0.55,0.58,0.57,0.63,0.55,0.57,0.55,0.56,0.53,0.48,0.54,0.55,0.56,0.54,0.59,0.63,0.52,0.58,0.52,0.54,0.63,0.58,0.61,0.54,0.59,0.57,0.55
,,,b,,,,,,abcdgh,abcdgh,,,abcdgh,,cgijklm,,,l,l,,,,l,,,l,,,,,bi,,,,,,,,,,,
,In the UK generally,273,167,106,43,61,44,34,33,59,104,78,92,10,17,33,16,28,15,25,17,9,30,22,51,231,87,78,52,56,88,55,8,4,4,3,0,4,75,83,69,95
,,0.12,0.15,0.09,0.17,0.16,0.12,0.09,0.1,0.11,0.16,0.1,0.11,0.15,0.09,0.13,0.18,0.15,0.13,0.13,0.11,0.05,0.1,0.11,0.17,0.12,0.14,0.12,0.11,0.1,0.12,0.1,0.07,0.1,0.1,0.05,0,0.08,0.15,0.11,0.09,0.16
,,,b,,defhi,dehi,,,,,defhi,,,i,,i,bij,i,i,i,i,,i,i,bijm,i,d,,,,,,,,,,,,bcf,,,ab
,In the UK's big cities,245,146,98,57,48,41,38,26,33,105,80,60,6,15,20,18,21,16,19,16,13,27,20,53,207,86,60,54,45,59,65,7,3,5,4,0,2,71,63,70,94
,,0.11,0.13,0.09,0.23,0.12,0.12,0.1,0.08,0.06,0.17,0.11,0.07,0.09,0.08,0.08,0.2,0.12,0.15,0.1,0.1,0.07,0.09,0.1,0.18,0.11,0.14,0.1,0.12,0.08,0.08,0.12,0.06,0.1,0.12,0.07,0,0.03,0.14,0.08,0.09,0.16
,,,b,,bcdefghi,efi,fi,,,,cdefhi,fi,,,,,bceghijkm,,ci,,,,,,bcghijkm,,bd,,,,,a,,,,,,,ach,,,ab
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b,c,d,e,f,g,h,i - a,b,c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
