<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13. Have you ever sought professional help about the way(s) fraud has impacted your mental health?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1598,784,810,182,331,287,258,251,289,41,167,205,62,114,102,123,128,131,193,108,224,112,130,78,84,82,69,82,74,1099,493,1238,154,91,88,27,118,1480
Total,1588,772,812,179,308,266,252,246,337,45,136,174,69,118,78,142,117,137,200,144,228,129,110,70,87,85,59,62,60,1090,493,1233,153,90,86,25,118,1470
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,411,220,190,78,149,81,48,32,21,12,22,48,19,31,12,41,24,28,36,25,112,40,32,16,16,22,16,12,8,308,102,287,52,32,34,7,44,367
,0.26,0.29,0.23,0.44,0.48,0.31,0.19,0.13,0.06,0.26,0.16,0.27,0.28,0.26,0.15,0.29,0.2,0.2,0.18,0.17,0.49,0.31,0.29,0.22,0.18,0.26,0.27,0.19,0.13,0.28,0.21,0.23,0.34,0.35,0.39,0.26,0.37,0.25
,, b,, cdef, cdef, def, f, f,,,, bfjk, b, b,, bfjk,,,,, abcdefghijk, dh, h,,,, h,,, b,,, a, a, a,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,1178,552,621,101,159,184,203,214,316,33,114,127,49,87,66,101,93,109,164,119,116,89,78,54,71,63,43,50,52,782,391,946,101,58,53,19,74,1103
,0.74,0.71,0.77,0.56,0.52,0.69,0.81,0.87,0.94,0.74,0.84,0.73,0.72,0.74,0.85,0.71,0.8,0.8,0.82,0.83,0.51,0.69,0.71,0.78,0.82,0.74,0.73,0.81,0.87,0.72,0.79,0.77,0.66,0.65,0.61,0.74,0.63,0.75
,,, a,,, ab, abc, abc, abcde, l, cdegl, l, l, l, cgl, l, l, l, cgl, cgl,,,,, a,,,, abf,, a, bcd,,,,,, a
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
