<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q3. You said that you lost money as a result of being a victim of fraud. Which of the following statements, if any, apply to your experience of being a victim of fraud?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Those who lost money as a result (at Q1b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,1335,655,676,169,294,251,230,179,212,35,123,191,46,110,79,105,102,99,168,84,193,88,116,62,64,70,73,64,61,892,439,976,143,124,75,17,117,1218
Total,1322,646,672,166,276,234,223,176,248,38,100,162,50,115,60,120,93,103,174,112,195,100,99,56,67,72,61,49,49,877,441,969,142,122,72,16,116,1205
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had to take out an official loan as a result of losing money,158,81,76,24,65,40,12,6,10,4,6,20,9,13,6,14,6,3,10,8,60,14,15,5,1,6,5,5,2,127,30,104,22,14,16,2,20,137
,0.12,0.12,0.11,0.15,0.24,0.17,0.05,0.03,0.04,0.11,0.06,0.12,0.17,0.11,0.1,0.11,0.07,0.03,0.06,0.07,0.31,0.14,0.15,0.09,0.01,0.08,0.08,0.11,0.05,0.14,0.07,0.11,0.16,0.11,0.22,0.1,0.17,0.11
,,,, def, adef, def,,,,,, ij, bhij, i, i, i,,,,, abcefghijk, d, dh, d,,,, d,, b,,,,, ac,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Being a victim of fraud also had non-financial impacts on my life (e.g. depression, severe stress, breakdown of relationship)",432,227,204,71,132,73,70,38,49,10,27,66,21,30,17,44,28,32,62,21,74,42,41,17,20,17,25,17,10,313,119,288,53,52,30,9,47,385
,0.33,0.35,0.3,0.43,0.48,0.31,0.31,0.22,0.2,0.26,0.27,0.41,0.41,0.26,0.28,0.37,0.31,0.31,0.36,0.19,0.38,0.42,0.41,0.3,0.29,0.24,0.42,0.34,0.21,0.36,0.27,0.3,0.38,0.42,0.41,0.59,0.4,0.32
,,,, cdef, cdef, ef, ef,,,,, befk, k,,, k,, k, k,, ek, eh, eh,,,, eh,,, b,,,, a, a,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had to borrow money from friends and/or family as a result of losing money,331,150,181,59,115,70,55,18,15,4,18,47,12,26,12,36,23,19,34,25,75,33,25,19,15,18,22,11,10,236,92,206,49,50,25,2,43,289
,0.25,0.23,0.27,0.36,0.42,0.3,0.25,0.1,0.06,0.11,0.18,0.29,0.23,0.22,0.2,0.3,0.25,0.18,0.19,0.22,0.38,0.33,0.25,0.34,0.22,0.25,0.37,0.23,0.21,0.27,0.21,0.21,0.34,0.41,0.34,0.11,0.37,0.24
,,,, def, cdef, ef, ef,,,,, abij,,,, abij,,,,, abefhijk,,,,,,,,, b,,, a, a, a,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have not financially recovered since losing money through fraud,163,85,78,21,39,34,27,17,25,3,8,21,9,10,8,14,17,10,23,7,32,10,15,10,6,9,6,8,6,117,45,102,24,22,13,2,19,144
,0.12,0.13,0.12,0.12,0.14,0.15,0.12,0.1,0.1,0.09,0.08,0.13,0.17,0.09,0.14,0.12,0.18,0.1,0.13,0.06,0.16,0.1,0.16,0.18,0.09,0.12,0.1,0.17,0.11,0.13,0.1,0.11,0.17,0.18,0.17,0.16,0.16,0.12
,,,,,,,,,,,,, k,,,, bek,,,, bk,,,,,,,,,,,, a, a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My credit rating has worsened since I lost money through fraud,147,73,74,21,44,28,24,10,20,4,12,17,7,7,8,18,13,9,14,5,31,15,14,11,6,5,3,7,6,98,49,109,16,13,7,2,12,135
,0.11,0.11,0.11,0.13,0.16,0.12,0.11,0.06,0.08,0.11,0.12,0.1,0.15,0.06,0.14,0.15,0.14,0.08,0.08,0.05,0.16,0.15,0.14,0.19,0.1,0.07,0.05,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11
,,,, e, ef, e,,,,,,, k,, k, ek, ek,,,, ejk,,, ef,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None of these apply,475,220,254,34,31,65,84,105,156,19,45,44,11,49,26,36,32,49,70,62,32,24,28,15,33,29,15,17,24,285,189,400,37,23,11,3,28,447
,0.36,0.34,0.38,0.21,0.11,0.28,0.37,0.6,0.63,0.49,0.45,0.27,0.22,0.43,0.43,0.3,0.35,0.48,0.4,0.55,0.16,0.24,0.28,0.28,0.49,0.4,0.24,0.35,0.48,0.32,0.43,0.41,0.26,0.19,0.15,0.19,0.24,0.37
,,,, b,, b, abc, abcd, abcd, cdgl, cdgl, l,, cdl, cdl, l, l, cdgl, cdl, cdghjl,,,,, abcf, af,,, abcf,, a, bcd,,,,,, a
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
