Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,
,Table 141,,,,,,,,,,,,,,,,,
,"Q26. Summary Table: Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,11,12,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-12
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n,*o,*p
,Cost of living,6241,1067,831,669,559,399,319,216,159,123,105,69,51,1067,2566,3525,4567
,,,0.17,0.13,0.11,0.09,0.06,0.05,0.03,0.03,0.02,0.02,0.01,0.01,0.17,0.41,0.56,0.73
,Rent prices,6241,671,708,602,453,377,327,260,210,155,122,109,88,671,1982,2812,4083
,,,0.11,0.11,0.1,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.11,0.32,0.45,0.65
,Getting on the housing ladder,6241,710,631,554,419,353,268,229,207,186,148,122,81,710,1895,2668,3910
,,,0.11,0.1,0.09,0.07,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.11,0.3,0.43,0.63
,Youth violence (incl. knife crime),6241,686,519,495,425,339,279,250,188,162,136,168,163,686,1700,2464,3809
,,,0.11,0.08,0.08,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.11,0.27,0.39,0.61
,Poor mental health,6241,527,598,519,436,362,266,260,219,241,154,141,79,527,1644,2441,3800
,,,0.08,0.1,0.08,0.07,0.06,0.04,0.04,0.04,0.04,0.02,0.02,0.01,0.08,0.26,0.39,0.61
,Negative impact of social media,6241,477,523,449,383,362,327,259,228,179,186,118,105,477,1449,2194,3596
,,,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.08,0.23,0.35,0.58
,A lack of opportunities,6241,479,490,407,359,352,306,280,255,206,211,149,72,479,1377,2088,3566
,,,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.01,0.08,0.22,0.33,0.57
,"Lack of high quality, well-paid jobs",6241,389,443,410,366,345,322,281,250,217,193,157,81,389,1242,1953,3454
,,,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.06,0.2,0.31,0.55
,Body image pressures,6241,263,360,364,349,306,282,248,244,206,233,206,151,263,987,1641,3211
,,,0.04,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.02,0.04,0.16,0.26,0.51
,A lack of spaces to go,6241,299,281,269,256,213,222,191,226,240,262,314,219,299,848,1317,2991
,,,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.14,0.21,0.48
,Growing wealth gap between older and younger generations,6241,226,257,265,230,298,238,217,211,268,246,241,197,226,748,1276,2895
,,,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.12,0.2,0.46
,Climate change,6241,226,218,209,164,147,138,166,150,167,234,325,602,226,653,964,2746
,,,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.04,0.05,0.1,0.04,0.1,0.15,0.44
,Other,6241,14,3,3,4,5,0,2,0,1,0,1,1,14,21,29,34
,,,*%,*%,*%,*%,*%,0,*%,0,*%,0,*%,*%,*%,*%,*%,0.01
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,
