<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
P037330 - KA Fraud Victims ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGMENT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,,Age,,,,,,Region,,,,,,,,,,,,Cities,,,,,,,,SEG,,Ethnicity,,,,,Ethnicity - South Asian,
,Total,Male (a),Female (b),18-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Northern Ireland (a),Scotland (b),North-West (c),North-East (d),Yorkshire & The Humber (e),Wales (f),West Midlands (g),East Midlands (h),South-West (i),South-East (j),East of England (k),London (l),Birmingham (a),Manchester (b),Nottingham (c),Bristol (d),Leeds (e),Liverpool (f),Cardiff (g),Edinburgh (h),ABC1 (a),C2DE (b),White (a),Asian (b),Black (c),Mixed (d),Other (e),South Asian (a),Not South Asian (b)
Unweighted row,2147,1042,1100,228,392,379,365,349,434,55,221,277,77,168,132,164,170,178,281,151,273,142,167,103,113,114,102,102,103,1433,706,1667,195,145,108,32,149,1998
Total,2147,1037,1105,223,365,352,356,344,507,60,180,236,86,176,101,189,157,187,294,202,279,163,142,93,118,118,87,77,83,1426,714,1673,193,144,106,30,148,1999
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main,2031,989,1038,212,331,318,339,329,503,60,147,199,86,176,78,189,137,187,294,202,276,163,142,73,118,118,49,55,50,1345,680,1573,190,139,99,30,145,1886
,0.95,0.95,0.94,0.95,0.91,0.9,0.95,0.96,0.99,1,0.82,0.84,1,1,0.78,1,0.87,1,1,1,0.99,1,1,0.78,1,1,0.57,0.71,0.61,0.94,0.95,0.94,0.98,0.96,0.94,0.98,0.98,0.94
,,,, c,,, bc, bc, abcde, bcfh,,, bcfh, bcfh,, bcfh, f, bcfh, bcfh, bcfh, bcfh, cfgh, cfgh, fh, cfgh, cfgh,, f,,,,, ad,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boost,116,48,68,11,34,34,18,15,4,0,33,38,0,0,22,0,20,0,0,0,3,0,0,20,0,0,38,22,33,81,34,101,3,5,6,1,3,113
,0.05,0.05,0.06,0.05,0.09,0.1,0.05,0.04,0.01,0,0.18,0.16,0,0,0.22,0,0.13,0,0,0,0.01,0,0,0.22,0,0,0.43,0.29,0.39,0.06,0.05,0.06,0.02,0.04,0.06,0.02,0.02,0.06
,,,, f, def, adef, f, f,,, adegijkl, adegijkl,,, adeghijkl,, adegijkl,,,,,,, abde,,, abcdeg, abde, abcde,,, b,,, b,,,
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
