Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q26. Summary: Rank 1 - Thinking about your local community, what do you see as the main challenges facing young people (aged 16-24) today?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,Cost of living,1067,557,505,111,181,201,209,157,208,292,410,365,137,51,102,97,118,105,171,127,159,362,706,230,347,221,170,99,577,490,613,446,882,18,102,43,17,704,355,205,174,977,69,660,356,787,264,506,156,208,142,433,628,385,601,421
,,0.17,0.19,0.16,0.13,0.17,0.2,0.21,0.16,0.15,0.16,0.2,0.15,0.17,0.17,0.17,0.15,0.22,0.16,0.17,0.18,0.16,0.17,0.17,0.16,0.17,0.18,0.18,0.18,0.16,0.18,0.17,0.17,0.17,0.13,0.18,0.18,0.13,0.18,0.16,0.17,0.16,0.17,0.14,0.17,0.16,0.18,0.16,0.16,0.16,0.17,0.16,0.18,0.17,0.16,0.17,0.17
,,,b,,,a,aefgi,aefgi,,,,abefgi,,,,,,acdfgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,
,Getting on the housing ladder,710,378,329,62,82,82,110,126,247,144,193,374,89,33,84,67,52,96,119,98,71,178,532,168,259,146,104,33,427,283,426,280,656,9,30,11,3,471,232,99,130,652,52,464,231,531,175,325,109,118,98,284,439,259,355,335
,,0.11,0.13,0.1,0.08,0.08,0.08,0.11,0.13,0.18,0.08,0.1,0.16,0.11,0.11,0.14,0.1,0.1,0.15,0.12,0.14,0.07,0.08,0.13,0.12,0.12,0.12,0.11,0.06,0.12,0.1,0.12,0.11,0.13,0.07,0.05,0.04,0.02,0.12,0.11,0.08,0.12,0.12,0.11,0.12,0.1,0.12,0.1,0.1,0.11,0.1,0.11,0.12,0.12,0.11,0.1,0.13
,,,b,,,,,abcg,abcgh,abcdegh,,g,abcdegh,i,i,ei,i,,adegi,i,dei,,,a,e,eg,e,e,,eg,e,,,bcde,,,,,c,c,,c,,,b,,,,,,,,c,,,,a
,Youth violence (incl. knife crime),686,322,360,87,98,98,103,113,187,185,201,300,100,35,54,79,58,58,100,63,138,294,392,142,211,152,119,62,353,333,425,259,554,21,60,35,12,425,253,134,132,637,37,406,255,475,197,321,99,127,95,272,375,285,364,285
,,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.12,0.13,0.1,0.1,0.13,0.12,0.12,0.09,0.12,0.11,0.09,0.1,0.09,0.14,0.14,0.1,0.1,0.1,0.12,0.13,0.11,0.1,0.12,0.12,0.1,0.11,0.16,0.11,0.14,0.09,0.11,0.12,0.11,0.12,0.11,0.08,0.11,0.12,0.11,0.12,0.1,0.1,0.1,0.11,0.12,0.1,0.12,0.1,0.11
,,,,,,,,,,bcdgh,,,bcgh,c,,,c,,,,,cfgh,b,,,,af,af,,,abf,b,,,a,,a,,,,,,b,,,,,,,,,,,,a,,
