Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q11_W3.7. Cleaner air: Now thinking to the long-term future, what do you most hope to see change in your local community for the next generation?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,1,485,269,214,92,67,68,84,69,104,159,153,174,171,315,113,141,106,75,51,254,231,290,189,412,9,36,20,7,292,187,116,69,431,39,313,152,345,132,237,71,99,68,180,300,164,319,140
,,0.05,0.06,0.05,0.08,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.04,0.05,0.06,0.07,0.04,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.04
,,,b,,bcefghi,,,,,,b,,,,,,,,,,,,,,,,,,,,d,ad,,,,,,,,,,,,,,,b,
,2,441,232,205,74,79,62,61,62,104,153,122,166,167,274,112,132,89,58,50,244,198,250,190,357,6,49,18,10,291,146,87,60,397,33,272,156,321,112,218,74,71,73,186,254,178,303,127
,,0.05,0.05,0.04,0.06,0.05,0.04,0.04,0.04,0.05,0.06,0.04,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.06,0.06,0.05,0.05,0.06,0.03
,,,b,,cdeh,,,,,,cdh,,,,,b,,,,,,,,,,,ab,,,,,,,,,,,,,,,,c,c,,,b,
,3,406,210,194,74,70,61,47,74,80,145,108,154,162,244,96,131,89,55,35,227,179,222,178,336,11,33,12,10,248,149,91,65,358,42,276,125,317,88,225,68,95,62,128,272,123,292,103
,,0.05,0.05,0.04,0.06,0.05,0.04,0.03,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.06,0.05,0.04,0.06,0.04,0.05,0.05,0.04,0.04,0.06,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.06,0.03
,,,,,cdfhi,d,,,dh,,dfh,,,b,,,,,,,,,,,,,,,,,,,,,,b,,b,,e,,e,,,b,,b,
,4,294,123,169,52,54,55,33,48,52,106,88,101,102,192,72,97,55,44,27,169,125,171,123,236,3,35,14,6,188,95,65,42,257,32,194,91,226,66,150,53,64,34,100,179,110,191,94
,,0.03,0.03,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.05,0.05,0.04,0.03,0.03,0.04,0.03,0.03,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03
,,,,a,dfhi,d,df,,,,dfi,,,,,,,,,,,,,,,,ab,b,,,,,,,a,,,,,,,,,,,,b,
,5,295,132,163,36,53,45,53,39,69,89,98,108,91,205,75,90,54,45,32,165,130,167,129,247,3,25,13,6,186,101,58,47,267,19,191,91,226,62,153,47,60,46,103,166,122,187,98
,,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,b,
,6,252,122,128,43,35,38,42,41,52,79,80,93,105,146,57,78,58,36,23,134,117,141,109,208,6,23,11,3,155,92,60,47,229,18,157,90,185,65,121,24,60,37,109,148,98,163,80
,,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02
,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,b,,b,b,b,,,b,
,7,189,77,110,16,39,21,29,44,40,55,51,84,60,129,32,66,34,32,26,98,91,109,78,155,6,16,9,4,124,66,36,36,170,17,113,68,133,52,94,35,33,27,73,112,76,121,64
,,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,a,,ach,,,acdfgh,,,,ac,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
,8,196,92,104,16,28,27,34,43,49,43,61,92,74,122,38,61,39,32,26,99,97,119,75,176,5,13,2,0,129,64,41,36,171,17,111,79,140,56,85,40,27,18,76,116,75,130,66
,,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.03,0.02
,,,,,,,,,abcgh,,,,ag,,,,,,,,,,,,d,d,,,,,,,,,,,,,,,acd,,,,,,b,
,9,199,86,113,24,36,28,24,23,65,60,51,88,65,134,48,92,27,22,10,140,59,115,83,169,4,15,5,3,126,72,30,37,177,21,115,81,136,63,109,33,43,33,64,120,73,114,83
