Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age. How old are you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,18-24,2585,147,100,220,189,167,362,183,261,243,72,175,171,107,72,117,2585,0,0,0,0,0,2585,0,0,1198,411,824,18,134,1756,707,310,397,70
,,0.16,0.15,0.1,0.21,0.17,0.16,0.35,0.17,0.26,0.24,0.07,0.17,0.15,0.1,0.07,0.11,1,0,0,0,0,0,0.43,0,0,0.12,0.24,0.76,0.01,0.08,0.46,0.07,0.13,0.05,0.04
,,,bjmno,jn,abdegjlmno,bjmno,bjmno,abcdeghijklmno,bjmno,abcdegjklmno,abcdegjklmno,,bjmno,bjmno,jn,,jn,bcdefghi,,,,,,bcdefhi,,,de,ade,abde,,d,bcde,de,bde,e,
,25-34,3428,206,206,293,251,228,253,251,268,278,163,274,241,176,160,179,0,3428,0,0,0,0,3428,0,0,2515,382,144,13,375,927,2352,553,1798,116
,,0.22,0.2,0.2,0.28,0.23,0.21,0.25,0.23,0.26,0.28,0.16,0.27,0.21,0.16,0.16,0.17,0,1,0,0,0,0,0.57,0,0,0.26,0.22,0.13,0.01,0.23,0.24,0.24,0.24,0.24,0.06
,,,jmn,jmn,abdegjlmno,jmno,jmno,abjlmno,jmno,abegjlmno,abdegjlmno,,abdegjlmno,jmno,,,,,acdefghi,,,,,acdefhi,,,bcde,cd,d,,cd,e,e,e,e,
,35-44,3037,207,176,208,225,231,155,222,203,196,187,261,249,169,181,167,0,0,3037,0,0,0,0,3037,0,2285,282,49,24,397,428,2348,453,1896,230
,,0.19,0.21,0.17,0.2,0.2,0.22,0.15,0.2,0.2,0.2,0.18,0.26,0.22,0.16,0.18,0.16,0,0,1,0,0,0,0,0.53,0,0.24,0.16,0.05,0.02,0.24,0.11,0.24,0.2,0.25,0.12
,,,fmo,,fmo,fmo,bfmno,,fmo,fmo,fmo,f,abcdefghijlmno,bfmno,,,,,,abdefghi,,,,,abdefgi,,bcd,cd,d,,bcd,,ace,ae,abce,
,45-54,2724,170,215,156,189,189,108,190,134,242,158,271,200,179,161,162,0,0,0,2724,0,0,0,2724,0,1949,294,26,69,387,291,2100,561,1539,313
,,0.17,0.17,0.21,0.15,0.17,0.18,0.11,0.17,0.13,0.24,0.16,0.27,0.17,0.17,0.16,0.15,0,0,0,1,0,0,0,0.47,0,0.2,0.17,0.02,0.04,0.24,0.08,0.22,0.24,0.21,0.16
,,,fh,acdfghjlmno,f,fh,cfh,,fh,,acdefghjlmno,f,abcdefghjlmno,fh,fh,f,f,,,,abcefghi,,,,abcefgi,,bcd,cd,,c,abcd,,ae,abde,ae,a
,55-64,2084,137,157,108,132,197,74,134,111,19,187,26,151,168,310,174,0,0,0,0,2084,0,0,0,2084,1163,226,13,444,237,260,1282,221,1061,526
,,0.13,0.14,0.15,0.1,0.12,0.19,0.07,0.12,0.11,0.02,0.18,0.03,0.13,0.16,0.31,0.17,0,0,0,0,1,0,0,0,0.53,0.12,0.13,0.01,0.28,0.15,0.07,0.13,0.1,0.14,0.27
,,,cfik,cdfghik,fik,fik,abcdfghikl,ik,fik,fik,,acdfghikl,,cfik,cdfghik,abcdefghijklmo,acdfghikl,,,,,abcdfghi,,,,abcdfgh,c,c,,abce,ac,,ac,a,abc,abcd
,65+,1865,140,170,82,121,49,69,130,42,28,244,4,148,268,124,244,0,0,0,0,0,1865,0,0,1865,593,131,22,1018,101,195,976,206,770,676
,,0.12,0.14,0.17,0.08,0.11,0.05,0.07,0.12,0.04,0.03,0.24,*%,0.13,0.25,0.12,0.23,0,0,0,0,0,1,0,0,0.47,0.06,0.08,0.02,0.64,0.06,0.05,0.1,0.09,0.1,0.35
,,,cdefhik,cdefghikln,ehik,cefhik,ik,ehik,cefhik,k,k,abcdefghikln,,cefhik,abcdefghikln,cefhik,abcdefghikln,,,,,,abcdeghi,,,abcdegh,c,ac,,abce,c,,a,a,a,abcd
,Base for stats,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Mean Score,42.01,42.85,44.95,38.89,41.25,40.86,35.39,41.43,36.33,35.53,48.91,36.08,42.83,48.44,47.94,48.2,21.48,29.38,38.62,48.66,58.45,71.11,25.98,43.37,64.43,40.56,39.27,24.84,65.11,42.42,32.1,43.24,41.29,43.84,55.97
,,,cdefghik,acdefghikl,fhik,cfhik,cfhik,,cfhik,,,abcdefghikl,,cdefghik,abcdefghikl,abcdefghikl,abcdefghikl,,ag,abg,abcgh,abcdgh,abcdeghi,a,abcg,abcdegh,bc,c,,abce,abc,,ac,a,abc,abcd
,Standard Deviation,16.193,16.059,15.552,15.397,16.384,14.203,16.636,15.614,14.705,13.438,16.065,10.306,16.152,17.226,15.506,17.596,1.848,2.833,2.779,2.913,2.684,6.993,4.618,5.762,8.175,13.938,16.149,11.562,9.668,13.514,15.028,14.342,14.914,14.107,14.831
,Error variance,0.02,0.26,0.24,0.22,0.24,0.19,0.27,0.22,0.21,0.18,0.26,0.1,0.22,0.28,0.24,0.3,*,*,*,*,*,0.03,*,0.01,0.02,0.02,0.15,0.12,0.07,0.11,0.06,0.02,0.1,0.03,0.12
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
