Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,P024065 BBC 100 Women10th Anniversary Survey 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q11. If you were the victim of a gender-based crime (e.g. domestic abuse, rape, forced marriage, female genital mutilation), how likely or unlikely would you be to report the crime to the police in your country?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Brazil,China,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Russia,Saudi Arabia,Turkey,UK,Ukraine,USA,18-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Working (full time or part time),Not working,In education,Retired,"Other (incl. house wife, full time carer)",Single,NET: In a relationship,Living as a couple/Co-habiting,Married / civil partnership,Separated/divorced/widowed
,Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,a,b,c,d,e,f,g,h,i,a,b,c,d,e,a,b,c,d,e
,Unweighted Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2783,3933,3188,2452,1800,1567,6716,5640,3367,9808,1729,1142,1391,1653,4049,9699,2237,7462,1792
,Total,15723,1008,1025,1067,1107,1061,1022,1109,1018,1006,1010,1012,1160,1067,1009,1042,2585,3428,3037,2724,2084,1865,6014,5761,3949,9703,1725,1078,1586,1631,3857,9765,2304,7461,1931
,Very likely,7909,785,475,566,639,609,554,640,498,173,417,522,570,518,439,505,1262,1783,1592,1318,1006,947,3045,2910,1953,5200,703,489,772,744,1880,5039,1098,3941,915
,,0.5,0.78,0.46,0.53,0.58,0.57,0.54,0.58,0.49,0.17,0.41,0.52,0.49,0.49,0.44,0.48,0.49,0.52,0.52,0.48,0.48,0.51,0.51,0.51,0.49,0.54,0.41,0.45,0.49,0.46,0.49,0.52,0.48,0.53,0.47
,,,bcdefghijklmno,ij,bijmno,bchijklmno,bchijklmno,bhijlmno,bchijklmno,ijn,,i,bijn,ijn,ijn,i,ijn,,adei,adei,,,,,,,bcde,,b,b,b,,ace,,ace,
,Quite likely,4692,158,440,316,283,323,325,282,274,289,305,315,414,334,366,269,696,993,889,857,674,583,1689,1746,1257,2950,506,282,510,444,1042,3049,676,2373,562
,,0.3,0.16,0.43,0.3,0.26,0.3,0.32,0.25,0.27,0.29,0.3,0.31,0.36,0.31,0.36,0.26,0.27,0.29,0.29,0.31,0.32,0.31,0.28,0.3,0.32,0.3,0.29,0.26,0.32,0.27,0.27,0.31,0.29,0.32,0.29
,,,,acdefghijklmno,adg,a,adgo,adgho,a,a,a,adgo,adgho,acdeghijkmo,adgho,acdefghijkmo,a,,,a,abg,abcg,ag,,ag,abcg,ce,,,ce,,,a,a,ace,
,Not very likely,1718,29,52,82,106,78,108,149,172,282,135,65,112,93,94,161,353,364,300,302,206,193,717,601,399,935,263,167,147,207,517,945,286,659,231
,,0.11,0.03,0.05,0.08,0.1,0.07,0.11,0.13,0.17,0.28,0.13,0.06,0.1,0.09,0.09,0.15,0.14,0.11,0.1,0.11,0.1,0.1,0.12,0.1,0.1,0.1,0.15,0.15,0.09,0.13,0.13,0.1,0.12,0.09,0.12
,,,,a,ab,abk,ab,abcek,abcdefklmn,abcdefgjklmn,abcdefghjklmno,abcdefklmn,a,abk,abk,abk,abcdefklmn,bcdefghi,,,,,,bcehi,,,,ade,ade,,ad,bd,,bd,,bd
,Not at all likely,707,18,28,52,37,34,30,23,59,152,58,46,33,49,53,34,158,154,118,136,83,58,312,254,141,353,129,77,53,95,204,373,126,247,118
,,0.04,0.02,0.03,0.05,0.03,0.03,0.03,0.02,0.06,0.15,0.06,0.05,0.03,0.05,0.05,0.03,0.06,0.04,0.04,0.05,0.04,0.03,0.05,0.04,0.04,0.04,0.07,0.07,0.03,0.06,0.05,0.04,0.05,0.03,0.06
,,,,,abfgl,a,a,,,abdefglo,abcdefghjklmno,abdefglo,abgl,,abgl,abdefglo,a,bcefhi,fi,,cfi,,,cefhi,f,,,ad,ad,,ad,bd,,bd,,bd
,Don't know,697,19,30,51,42,16,5,15,14,110,95,64,32,72,57,74,116,134,138,112,115,83,249,249,198,264,125,64,104,140,214,358,118,240,105
