Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,P035983 NSPCC Parents Nat Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q3. Which of the following , if any, are you most worried about negatively impacting your family?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age of child,,,Gender of child,,Age of parent,,,Gender of parent,,Regions,,,,,,,,,,,,SEG,,Ethnicity of parent,,,,,,Parental / Guardianship status,,,,Perspective on challenges relating to gender,,
,,Total,0-5,6-11,12-18,Male,Female,18-34,35-64,65+,Male,Female,Northern Ireland,Scotland,North-West,North-East,Yorkshire & The Humber,Wales,West Midlands,East Midlands,South-West,South-East,East of England,London,ABC1,C2DE,White,Mixed/multiple,Asian or Asian British,Black or Black British,Another ethnicity,NET: Ethnic minority,Mother,Father,Parents,Gaurdian,Growing up as a boy is more challenging,Growing up as a girl is more challenging,Equally difficult
,Significance Level: 95%,,a,b,c,a,b,a,b,*c,a,b,a,b,c,d,e,f,g,h,i,j,k,l,a,b,a,b,c,d,*e,f,a,b,c,d,a,b,c
,Unweighted Total,2016,813,951,1024,1420,1293,610,1391,15,915,1098,54,148,227,93,171,94,185,151,169,276,181,267,1137,879,1684,76,121,119,15,325,1084,899,1983,33,235,561,1179
,Total,2016,805,954,1032,1424,1292,605,1396,16,974,1039,62,147,234,91,164,90,181,163,163,270,182,270,1134,882,1685,75,122,119,15,325,1027,956,1983,33,241,559,1176
,The cost of living,1311,517,590,656,903,814,357,944,10,571,738,47,111,137,62,116,55,113,117,114,195,119,125,743,568,1116,39,85,64,6,190,731,558,1289,22,116,370,800
,,0.65,0.64,0.62,0.64,0.63,0.63,0.59,0.68,0.67,0.59,0.71,0.76,0.76,0.59,0.69,0.7,0.61,0.63,0.71,0.7,0.72,0.65,0.46,0.66,0.64,0.66,0.52,0.7,0.54,0.39,0.58,0.71,0.58,0.65,0.66,0.48,0.66,0.68
,,,,,,,,,a,,,a,cl,cfgkl,l,l,cl,l,l,cl,cl,cgl,l,,,,bdf,,bdf,,,,bc,,b,,,a,a
,Mental health generally,826,304,370,456,564,538,220,603,3,375,451,39,65,78,39,62,33,72,69,71,120,78,100,476,350,723,37,32,25,8,99,442,370,811,15,71,240,504
,,0.41,0.38,0.39,0.44,0.4,0.42,0.36,0.43,0.2,0.38,0.43,0.63,0.44,0.33,0.43,0.38,0.36,0.4,0.42,0.44,0.45,0.43,0.37,0.42,0.4,0.43,0.49,0.27,0.21,0.54,0.31,0.43,0.39,0.41,0.45,0.29,0.43,0.43
,,,,,ab,,,,a,,,a,bcdefghijkl,c,,,,,,,c,c,c,,,,cdf,cdf,,,,,b,,,,,a,a
,Digital devices/technology affecting children's physical or mental health,820,301,395,440,581,529,202,615,3,376,442,29,76,81,30,57,29,71,74,72,126,81,94,496,324,685,25,42,62,6,134,436,370,805,15,71,232,512
,,0.41,0.37,0.41,0.43,0.41,0.41,0.33,0.44,0.2,0.39,0.43,0.46,0.52,0.35,0.33,0.34,0.33,0.39,0.46,0.44,0.47,0.44,0.35,0.44,0.37,0.41,0.33,0.35,0.52,0.41,0.41,0.42,0.39,0.41,0.45,0.3,0.41,0.44
,,,,,a,,,,a,,,,,cdefgl,,,,,,cefl,,cdefl,cl,,b,,,,,abcf,,,,,,,,a,a
,"Global concerns such as climate change, war, or terrorism",490,188,213,272,343,310,138,347,4,261,225,18,26,60,22,43,27,44,40,39,61,39,72,290,200,425,16,23,23,4,64,224,259,483,7,70,132,285
,,0.24,0.23,0.22,0.26,0.24,0.24,0.23,0.25,0.27,0.27,0.22,0.28,0.18,0.26,0.24,0.26,0.3,0.24,0.25,0.24,0.23,0.21,0.27,0.26,0.23,0.25,0.21,0.19,0.19,0.25,0.2,0.22,0.27,0.24,0.21,0.29,0.24,0.24
,,,,,b,,,,,,b,,,,,,,b,,,,,,b,,,f,,,,,,,a,,,,,
,"School holidays (e.g. childcare, additional costs, finding things to keep children busy)",406,208,224,161,301,264,160,244,2,186,219,5,24,43,18,32,27,44,26,33,45,42,68,216,189,347,16,20,19,4,59,215,185,400,6,71,119,210
,,0.2,0.26,0.24,0.16,0.21,0.2,0.26,0.17,0.13,0.19,0.21,0.07,0.16,0.18,0.2,0.2,0.3,0.24,0.16,0.2,0.17,0.23,0.25,0.19,0.21,0.21,0.22,0.16,0.16,0.26,0.18,0.21,0.19,0.2,0.18,0.3,0.21,0.18
,,,c,c,,,,b,,,,,,,,a,a,abchj,a,,a,,a,abhj,,,,,,,,,,,,,bc,,
,Family relationships,402,168,194,205,297,254,130,271,0,190,212,8,24,39,19,33,23,42,25,20,56,43,70,222,179,314,22,36,27,2,85,206,189,395,7,77,110,208
,,0.2,0.21,0.2,0.2,0.21,0.2,0.22,0.19,0,0.2,0.2,0.13,0.16,0.17,0.21,0.2,0.25,0.23,0.15,0.12,0.21,0.23,0.26,0.2,0.2,0.19,0.29,0.29,0.23,0.13,0.26,0.2,0.2,0.2,0.2,0.32,0.2,0.18
,,,,,,,,,,,,,,,,i,i,i,i,,,i,i,abchi,,,,a,a,,,a,,,,,bc,,
,Cost of childcare,378,232,186,129,265,247,148,228,2,184,193,13,23,32,15,29,17,30,27,33,42,35,81,236,142,295,19,31,32,2,83,193,181,374,4,61,129,182
