Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q12N.1. If I needed help, there are people who would be there for me: Thinking about your local community, to what extent do you agree or disagree with the following statements?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Strongly agree,1521,732,786,236,298,209,216,192,369,535,425,561,521,1001,371,491,306,225,128,862,660,838,666,1235,31,152,68,27,963,544,278,270,1375,111,1254,218,1329,180,963,442,316,206,377,1275,218,950,523
,,0.17,0.17,0.17,0.2,0.2,0.15,0.15,0.14,0.18,0.2,0.15,0.16,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.18,0.16,0.19,0.21,0.22,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.23,0.07,0.21,0.08,0.22,0.31,0.18,0.16,0.11,0.24,0.06,0.19,0.14
,,,,,cdehi,cdehi,,,,cdeh,cdehi,,e,,,g,,,,,,,,,,,a,a,,,,,,,,b,,b,,cde,acde,e,e,,b,,b,
,Tend to agree,3860,1837,2007,457,635,612,578,622,955,1092,1190,1577,1194,2666,931,1279,823,561,265,2210,1649,2164,1677,3324,57,298,107,66,2565,1254,671,630,3514,289,2772,966,3079,741,2060,608,888,564,1337,2664,1108,2191,1560
,,0.43,0.43,0.43,0.39,0.43,0.43,0.4,0.44,0.47,0.41,0.41,0.46,0.39,0.45,0.46,0.43,0.45,0.41,0.32,0.44,0.41,0.42,0.44,0.44,0.34,0.42,0.35,0.41,0.45,0.4,0.38,0.41,0.43,0.41,0.5,0.31,0.48,0.31,0.46,0.43,0.5,0.44,0.4,0.5,0.33,0.44,0.43
,,,,,,,a,,adgh,abcdgh,,,abcdgh,,a,bdeg,e,deg,e,,deg,e,,a,bd,,bd,,,bcd,,,,,,b,,b,,e,e,abde,e,,b,,,
,Neither agree nor disagree,1688,834,844,218,228,272,283,290,397,447,554,687,616,1072,360,551,343,275,159,911,777,992,673,1402,27,146,76,32,1106,560,311,277,1531,122,912,687,1120,542,725,184,298,242,695,788,818,893,716
,,0.19,0.19,0.18,0.19,0.15,0.19,0.2,0.21,0.19,0.17,0.19,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.16,0.2,0.25,0.2,0.19,0.18,0.18,0.18,0.19,0.17,0.17,0.22,0.17,0.23,0.16,0.13,0.17,0.19,0.21,0.15,0.24,0.18,0.2
,,,,,b,,bg,bg,bg,bg,,bg,bg,,,,,,,,,,,,,,,ab,,,,,,,,,a,,a,b,,b,ab,abc,,a,,a
,Tend to disagree,1004,485,510,131,162,180,190,157,183,293,370,340,391,613,215,342,161,149,137,557,447,581,416,855,24,69,29,21,595,395,251,187,878,106,360,621,570,420,403,95,167,141,469,311,664,518,437
,,0.11,0.11,0.11,0.11,0.11,0.13,0.13,0.11,0.09,0.11,0.13,0.1,0.13,0.1,0.11,0.12,0.09,0.11,0.17,0.11,0.11,0.11,0.11,0.11,0.14,0.1,0.1,0.13,0.1,0.13,0.14,0.12,0.11,0.15,0.07,0.2,0.09,0.18,0.09,0.07,0.09,0.11,0.14,0.06,0.2,0.1,0.12
,,,,,,,fi,fgi,f,,f,bfgi,,b,,,c,,,abcdfg,c,c,,,,,,,,,a,a,,,a,,a,,a,b,,b,ab,abcd,,a,,a
,Strongly disagree,591,283,300,86,107,101,126,90,80,194,228,170,272,320,71,178,132,105,105,249,342,362,226,516,24,34,14,4,298,275,194,131,520,49,137,448,235,345,206,49,72,86,337,149,414,294,264
,,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.06,0.04,0.07,0.08,0.05,0.09,0.05,0.04,0.06,0.07,0.08,0.13,0.05,0.09,0.07,0.06,0.07,0.14,0.05,0.05,0.02,0.05,0.09,0.11,0.08,0.06,0.07,0.02,0.14,0.04,0.14,0.05,0.03,0.04,0.07,0.1,0.03,0.12,0.06,0.07
,,,,,fi,fi,fi,efi,fi,,fi,fi,,b,,,a,af,af,abcdfg,a,abf,b,,,acde,,,,,a,abd,a,,,,a,,a,,,,abc,abcd,,a,,a
,Don't know,290,134,153,44,50,48,49,44,54,94,97,99,96,194,55,113,43,45,34,168,122,176,108,248,6,13,8,10,187,99,64,47,246,32,76,167,120,143,93,22,39,32,150,88,132,139,115
,,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.06,0.03,0.03,0.04,0.03,0.03,0.05,0.01,0.05,0.02,0.06,0.02,0.02,0.02,0.03,0.04,0.02,0.04,0.03,0.03
,,,,,,,,,,,,,,,,,ac,,,c,c,,,,,,,,,,,,,,a,,a,,a,,,,,abcd,,a,,
,Not applicable,23,10,13,1,6,5,5,2,4,7,10,6,8,14,3,8,3,7,2,11,12,13,8,18,0,2,2,0,12,10,4,3,20,1,6,10,13,8,9,3,3,3,9,5,13,9,8
,,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,0,*%,0.01,0,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,a,,
,NET: Agree,5381,2569,2793,694,934,821,794,814,1324,1627,1615,2138,1715,3666,1302,1770,1129,786,393,3072,2309,3002,2343,4558,88,450,175,93,3528,1798,949,900,4889,399,4026,1184,4408,921,3023,1050,1203,770,1713,3939,1326,3142,2084
,,0.6,0.6,0.61,0.59,0.63,0.58,0.55,0.58,0.65,0.61,0.56,0.62,0.55,0.62,0.65,0.6,0.62,0.58,0.47,0.62,0.58,0.59,0.62,0.6,0.53,0.63,0.58,0.59,0.62,0.57,0.54,0.58,0.6,0.56,0.73,0.38,0.68,0.39,0.68,0.75,0.68,0.6,0.51,0.75,0.39,0.63,0.57
,,,,,d,cdeh,,,,acdegh,cdh,,cdeh,,a,bdefg,e,deg,e,,deg,e,,a,b,,b,,,bcd,c,,c,b,,b,,b,,de,acde,de,e,,b,,b,
,NET: Disagree,1595,768,811,218,269,282,316,248,263,487,598,510,663,932,286,520,293,254,242,806,789,943,641,1371,47,103,43,25,893,670,445,318,1398,155,497,1068,805,765,609,144,239,227,805,460,1077,813,702
,,0.18,0.18,0.18,0.19,0.18,0.2,0.22,0.18,0.13,0.18,0.21,0.15,0.21,0.16,0.14,0.18,0.16,0.19,0.29,0.16,0.2,0.18,0.17,0.18,0.28,0.14,0.14,0.16,0.16,0.21,0.25,0.21,0.17,0.22,0.09,0.34,0.12,0.32,0.14,0.1,0.13,0.18,0.24,0.09,0.32,0.16,0.19
,,,,,fi,fi,fi,befgi,fi,,fi,befgi,,b,,,a,,a,abcdfg,a,abcf,,,cd,acd,,,,,a,abd,a,,a,,a,,a,b,,b,abc,abcd,,a,,a
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b - a,b,c,d,e,f,g - a,b - a,b,c,d,e - a,b,c,d - a,b - a,b - a,b - a,b,c,d,e - a,b - a,b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
