Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3a. How often do you plan to take part in volunteering in your local community in the next 12 months?By 'local community' we mean the local area where you live.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents who intend to volunteer in their community in the next 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,*e,a,b,a,b
,Unweighted Total,3235,1480,1734,471,743,699,434,508,380,1214,1133,888,386,136,310,351,240,322,561,331,598,1132,2103,1197,1008,581,295,154,2205,1030,1403,1816,2368,171,317,334,32,2109,1086,660,489,2885,282,2476,705,2864,356,3235,1022,1294,919,0,2414,769,2128,1040
,Total,3109,1514,1574,574,649,539,434,387,526,1223,973,913,368,126,292,349,238,289,545,324,577,1112,1997,839,1035,641,387,207,1874,1235,1510,1581,2320,93,392,192,99,1986,1085,647,497,2773,265,2376,681,2722,369,3109,980,1229,899,0,2298,760,2013,1027
,Once a week or more,661,319,339,88,106,104,92,106,165,194,196,271,89,36,63,55,62,54,108,65,130,218,442,179,201,118,109,54,380,280,325,334,520,15,64,38,22,397,255,142,141,603,46,520,128,571,85,661,429,118,114,0,473,173,403,235
,,0.21,0.21,0.22,0.15,0.16,0.19,0.21,0.27,0.31,0.16,0.2,0.3,0.24,0.28,0.22,0.16,0.26,0.19,0.2,0.2,0.23,0.2,0.22,0.21,0.19,0.18,0.28,0.26,0.2,0.23,0.21,0.21,0.22,0.16,0.16,0.2,0.22,0.2,0.23,0.22,0.28,0.22,0.17,0.22,0.19,0.21,0.23,0.21,0.44,0.1,0.13,0,0.21,0.23,0.2,0.23
,,,,,,,,abg,abcdgh,abcdgh,,abg,abcdgh,d,dfg,d,,df,,,,d,,,,,,abcf,c,,c,,,bc,,,,,,a,,abc,,,,,,,cd,acd,,c,,,,,
,Once every 2-3 weeks,563,285,266,148,128,85,63,56,83,276,148,139,69,19,51,76,35,47,90,58,118,222,342,168,194,125,48,29,362,201,231,329,404,24,81,42,12,351,204,129,71,482,67,457,99,528,31,563,223,205,136,0,472,86,387,170
,,0.18,0.19,0.17,0.26,0.2,0.16,0.14,0.14,0.16,0.23,0.15,0.15,0.19,0.15,0.17,0.22,0.15,0.16,0.16,0.18,0.2,0.2,0.17,0.2,0.19,0.19,0.12,0.14,0.19,0.16,0.15,0.21,0.17,0.25,0.21,0.22,0.12,0.18,0.19,0.2,0.14,0.17,0.25,0.19,0.14,0.19,0.08,0.18,0.23,0.17,0.15,0,0.21,0.11,0.19,0.17
,,,,,bcdefhi,dehi,,,,,cdefhi,,,,,,eg,,,,,,b,,dg,d,d,,,dg,,,a,,a,,,,,d,d,,,a,b,,b,,d,acd,,,,b,,,
,Once a month,797,395,401,131,176,166,109,102,114,307,274,216,84,35,59,107,53,85,148,79,146,294,503,249,253,168,91,35,503,294,400,390,579,24,112,56,21,544,245,146,107,715,63,636,157,725,72,797,179,344,274,0,600,194,543,246
,,0.26,0.26,0.25,0.23,0.27,0.31,0.25,0.26,0.22,0.25,0.28,0.24,0.23,0.28,0.2,0.31,0.22,0.29,0.27,0.24,0.25,0.26,0.25,0.3,0.24,0.26,0.24,0.17,0.27,0.24,0.27,0.25,0.25,0.26,0.29,0.29,0.21,0.27,0.23,0.23,0.22,0.26,0.24,0.27,0.23,0.27,0.2,0.26,0.18,0.28,0.3,0,0.26,0.26,0.27,0.24
,,,,,,f,adfgi,,,,,afi,,,,,ace,,c,c,,,,,bdeg,e,e,,,e,,,,,,,,,bcd,,,,,,b,,b,,b,,b,ab,,,,,
,Every 2-3 months,419,209,209,87,97,82,63,44,47,184,144,91,48,19,45,43,30,43,74,42,75,159,260,108,154,89,44,25,262,158,190,226,310,5,60,25,18,275,140,82,58,377,33,315,96,361,56,419,72,208,138,0,310,107,266,145
,,0.13,0.14,0.13,0.15,0.15,0.15,0.14,0.11,0.09,0.15,0.15,0.1,0.13,0.15,0.15,0.12,0.12,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.15,0.14,0.11,0.12,0.14,0.13,0.13,0.14,0.13,0.05,0.15,0.13,0.19,0.14,0.13,0.13,0.12,0.14,0.12,0.13,0.14,0.13,0.15,0.13,0.07,0.17,0.15,0,0.13,0.14,0.13,0.14
,,,,,fi,fi,fi,fi,,,fi,fi,,,,,,,,,,,,,,,,,,,,,,b,,b,b,b,,,,,,,,,,,b,,ab,b,,,,,
,Every 4-6 months,254,118,135,49,55,35,50,28,37,104,86,65,23,6,26,21,22,23,48,38,47,66,188,63,97,55,27,12,160,94,116,138,181,11,27,12,22,164,90,52,38,227,22,196,56,225,28,254,24,138,92,0,188,63,174,76
,,0.08,0.08,0.09,0.09,0.08,0.07,0.12,0.07,0.07,0.08,0.09,0.07,0.06,0.04,0.09,0.06,0.09,0.08,0.09,0.12,0.08,0.06,0.09,0.08,0.09,0.09,0.07,0.06,0.09,0.08,0.08,0.09,0.08,0.12,0.07,0.06,0.23,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.02,0.11,0.1,0,0.08,0.08,0.09,0.07
,,,,,,,,cefi,,,,,,,,,,,,,abd,,,a,,,,,,,,,,,acd,,,acd,,,,,,,,,,,b,,ab,ab,,,,,
,Once a year,206,107,98,42,58,34,38,20,13,100,73,33,26,6,21,21,21,19,42,21,30,76,130,39,73,41,37,16,112,94,106,98,155,5,31,10,3,135,70,52,26,183,20,137,67,169,36,206,30,104,72,0,142,61,121,82
,,0.07,0.07,0.06,0.07,0.09,0.06,0.09,0.05,0.02,0.08,0.07,0.04,0.07,0.05,0.07,0.06,0.09,0.06,0.08,0.07,0.05,0.07,0.07,0.05,0.07,0.06,0.1,0.08,0.06,0.08,0.07,0.06,0.07,0.05,0.08,0.05,0.03,0.07,0.06,0.08,0.05,0.07,0.07,0.06,0.1,0.06,0.1,0.07,0.03,0.08,0.08,0,0.06,0.08,0.06,0.08
,,,,,fi,efi,fi,efi,f,,efi,fi,,,,,,i,,,,,,,,a,,af,,,a,,,,,,,,,,,,,,,a,,a,b,,ab,b,,,,,a
,Don't know,208,80,127,30,28,33,19,31,67,58,52,98,29,5,27,24,16,18,36,21,32,77,132,33,62,45,31,37,96,113,142,65,171,9,18,9,0,120,81,44,55,186,15,115,78,143,60,208,22,112,74,0,113,75,119,72
,,0.07,0.05,0.08,0.05,0.04,0.06,0.04,0.08,0.13,0.05,0.05,0.11,0.08,0.04,0.09,0.07,0.07,0.06,0.07,0.06,0.05,0.07,0.07,0.04,0.06,0.07,0.08,0.18,0.05,0.09,0.09,0.04,0.07,0.1,0.04,0.05,0,0.06,0.07,0.07,0.11,0.07,0.06,0.05,0.11,0.05,0.16,0.07,0.02,0.09,0.08,0,0.05,0.1,0.06,0.07
,,,,a,,,,,bdgh,abcdegh,,,abcdgh,,,i,,,,,,,,,,a,a,af,abcdfg,,abf,b,,,cd,,,,,,,abc,,,,a,,a,b,,ab,b,,,a,,
