Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,
,Table 75,,,,,,,,,,,,,,,,,,,
,"Q11_W3. Summary Table: Now thinking to the long-term future, what do you most hope to see change in your local community for the next generation?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,
,,,Rank,,,,,,,,,,,,,,,,,
,,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,NET: Rank 1,NET: Rank 1-3,NET: Rank 1-5,NET: Rank 1-14
,Significance Level: 95%,,*a,*b,*c,*d,*e,*f,*g,*h,*i,*j,*k,*l,*m,*n,*o,*p,*q,*r
,Reduced poverty and deprivation,8976,1271,920,719,535,358,284,201,163,138,137,117,138,95,91,1271,2909,3803,5166
,,,0.14,0.1,0.08,0.06,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.14,0.32,0.42,0.58
,Improved access to affordable housing,8976,1134,895,733,509,335,260,271,187,177,136,127,122,117,83,1134,2762,3606,5086
,,,0.13,0.1,0.08,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.13,0.31,0.4,0.57
,Thriving high street and shopping areas,8976,1177,869,661,502,373,253,228,200,161,122,170,160,134,121,1177,2708,3583,5130
,,,0.13,0.1,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.13,0.3,0.4,0.57
,Improved employment prospects,8976,590,738,640,489,423,328,246,235,219,174,161,139,129,89,590,1968,2881,4602
,,,0.07,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.07,0.22,0.32,0.51
,Improved social care,8976,605,743,606,489,417,331,282,199,225,204,154,140,134,85,605,1954,2860,4614
,,,0.07,0.08,0.07,0.05,0.05,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.07,0.22,0.32,0.51
,Better quality homes,8976,608,662,536,442,370,292,271,223,210,200,207,154,152,146,608,1806,2618,4474
,,,0.07,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.2,0.29,0.5
,Improved youth facilities,8976,627,636,542,506,429,324,278,246,229,194,190,159,144,106,627,1806,2741,4611
,,,0.07,0.07,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.07,0.2,0.31,0.51
,More green spaces,8976,456,458,442,359,279,232,217,237,234,219,242,253,211,219,456,1357,1995,4059
,,,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.05,0.15,0.22,0.45
,Cleaner air,8976,485,441,406,294,295,252,189,196,199,222,197,218,272,259,485,1333,1923,3927
,,,0.05,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.05,0.15,0.21,0.44
,More spaces for community use,8976,368,449,397,335,314,330,285,277,267,249,237,202,154,110,368,1215,1864,3974
,,,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.04,0.14,0.21,0.44
,Reduced levels of traffic/ more routes for cycling and walking,8976,440,392,373,283,262,239,257,204,202,220,199,220,286,261,440,1205,1749,3839
,,,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.05,0.13,0.19,0.43
,More highly rated state schools,8976,337,394,349,321,313,271,258,238,201,222,231,240,226,221,337,1081,1714,3824
,,,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.12,0.19,0.43
,Improved community cohesion,8976,276,306,323,252,265,235,239,264,228,238,226,251,256,191,276,905,1422,3549
,,,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.1,0.16,0.4
,Improved cultural facilities,8976,167,239,243,211,193,224,183,221,231,264,269,287,283,351,167,649,1053,3366
,,,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.07,0.12,0.37
,Other,8976,48,13,15,13,7,1,3,0,1,*,0,0,2,*,48,75,96,103
,,,0.01,*%,*%,*%,*%,*%,*%,0,*%,*%,0,0,*%,*%,0.01,0.01,0.01,0.01
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,
