Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q7_W3. Summary: Rank 1-5 - Thinking about what would benefit your local community, which of the following areas related to the physical environment do you think are most important?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,8976,4015,4913,933,1712,1863,1359,1747,1362,2645,3222,3109,3004,5972,2822,2887,1590,1020,657,5709,3267,4583,4333,7653,268,480,491,50,5832,3039,1799,1444,8064,745,5632,3041,6650,2219,4644,1463,1895,1286,3177,5455,3218,5114,3545
,Total,8976,4315,4613,1174,1488,1427,1447,1399,2041,2662,2874,3440,3098,5878,2005,2962,1812,1367,830,4968,4008,5127,3774,7598,168,713,304,160,5726,3137,1774,1545,8083,710,5517,3117,6466,2379,4459,1404,1782,1273,3373,5280,3367,4995,3624
,Safety on the streets,6426,2988,3406,806,1041,988,1044,1057,1490,1847,2032,2547,2287,4139,1381,2117,1341,994,592,3498,2927,3766,2607,5478,108,517,199,102,4075,2279,1282,1144,5825,501,3876,2308,4590,1753,3032,913,1202,916,2523,3713,2484,3548,2630
,,0.72,0.69,0.74,0.69,0.7,0.69,0.72,0.76,0.73,0.69,0.71,0.74,0.74,0.7,0.69,0.71,0.74,0.73,0.71,0.7,0.73,0.73,0.69,0.72,0.65,0.72,0.66,0.64,0.71,0.73,0.72,0.74,0.72,0.71,0.7,0.74,0.71,0.74,0.68,0.65,0.67,0.72,0.75,0.7,0.74,0.71,0.73
,,,,a,,,,,abcdgh,acg,,,abcgh,b,,,a,af,a,,,af,b,,bd,,bd,,,,,,a,,,,a,,a,b,,,abc,abcd,,a,,
,Young people having places to go and things to do,5476,2398,3058,709,920,877,924,835,1211,1629,1801,2046,1880,3595,1202,1798,1152,847,476,3000,2476,3159,2279,4727,90,375,170,95,3432,1982,1140,994,4957,432,3280,1994,3915,1492,2631,818,1049,765,2090,3172,2120,3064,2203
,,0.61,0.56,0.66,0.6,0.62,0.61,0.64,0.6,0.59,0.61,0.63,0.59,0.61,0.61,0.6,0.61,0.64,0.62,0.57,0.6,0.62,0.62,0.6,0.62,0.54,0.53,0.56,0.59,0.6,0.63,0.64,0.64,0.61,0.61,0.59,0.64,0.61,0.63,0.59,0.58,0.59,0.6,0.62,0.6,0.63,0.61,0.61
,,,,a,,,,efi,,,,efi,,,,,,aef,,,,e,,,bcd,,,,,,a,a,a,,,,a,,,,,,,abc,,a,,
,Keeping the area looking nice,5151,2561,2567,608,822,788,838,839,1256,1429,1626,2095,1731,3420,1179,1693,1079,731,468,2872,2279,3004,2120,4442,79,373,157,82,3362,1736,952,865,4668,402,3121,1841,3628,1460,2349,699,953,697,2120,2959,2026,2749,2208
,,0.57,0.59,0.56,0.52,0.55,0.55,0.58,0.6,0.62,0.54,0.57,0.61,0.56,0.58,0.59,0.57,0.6,0.54,0.56,0.58,0.57,0.59,0.56,0.58,0.47,0.52,0.52,0.52,0.59,0.55,0.54,0.56,0.58,0.57,0.57,0.59,0.56,0.61,0.53,0.5,0.54,0.55,0.63,0.56,0.6,0.55,0.61
