Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,National Lottery Community Fund - CRI - Wave 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q11_W3. Summary: Rank 1 - Now thinking to the long-term future, what do you most hope to see change in your local community for the next generation?By 'local community' we mean the local area where you live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASE: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gender,,Age,,,,,,,,,English region,,,,,,,,,IMD ranking,,Social grade,,,,,,,Education,,Ethnicity,,,,,Disability,,,,Sexuality,,Feels like part of their community,,Important to feel part of their community,,Intention to volunteer in 2023,,,,,Strength of local community spirit,,Worried about the impact of climate change on local community,
,,Total,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,18-34,35-54,55+,North-West,North-East,Yorkshire & Humberside,West Midlands,East Midlands,South-West,South-East,Eastern,London,Deciles 1-3,Deciles 4-10,AB,C1,C2,D,E,ABC1,C2DE,Non-graduates,Graduates,White,Mixed,Asian,Black,Other,No,NET: Yes,Mental health condition,Physical condition,Heterosexual/straight,Lesbian/gay/bisexual,Yes,No,Important,Not important,NET: Yes,"Yes, and I already do","Yes, and I have done previously","Yes, for the first time",No,Strong,Not strong,Worried,Not worried
,Significance Level: 95%,,a,b,a,b,c,d,e,f,g,h,i,a,b,c,d,e,f,g,h,i,a,b,a,b,c,d,e,f,g,a,b,a,b,c,d,e,a,b,c,d,a,b,a,b,a,b,a,b,c,d,e,a,b,a,b
,Unweighted Total,6241,2812,3396,663,1162,1266,943,1226,981,1825,2209,2207,802,296,623,647,519,675,1019,691,969,2105,4136,1996,2009,1138,681,417,4005,2236,3258,2940,5064,240,446,421,42,4108,2058,1189,992,5627,489,3850,2171,4567,1590,3235,1022,1294,919,2217,3719,2304,3568,2432
,Total,6241,3007,3201,823,1041,1004,1006,961,1406,1864,2010,2367,817,294,612,647,542,640,1027,697,967,2156,4085,1426,2086,1242,933,553,3513,2728,3579,2609,5152,131,557,243,130,4004,2157,1216,1066,5623,486,3806,2198,4476,1669,3109,980,1229,899,2346,3636,2376,3487,2495
,Reduced poverty and deprivation,878,383,486,104,154,162,145,132,182,258,307,313,140,58,84,93,79,77,125,80,141,363,515,165,271,172,152,117,437,441,497,377,746,19,69,29,12,521,339,199,172,777,76,491,359,608,253,413,121,157,135,329,489,363,513,334
,,0.14,0.13,0.15,0.13,0.15,0.16,0.14,0.14,0.13,0.14,0.15,0.13,0.17,0.2,0.14,0.14,0.15,0.12,0.12,0.12,0.15,0.17,0.13,0.12,0.13,0.14,0.16,0.21,0.12,0.16,0.14,0.14,0.14,0.15,0.12,0.12,0.1,0.13,0.16,0.16,0.16,0.14,0.16,0.13,0.16,0.14,0.15,0.13,0.12,0.13,0.15,0.14,0.13,0.15,0.15,0.13
,,,,a,,,afi,,,,,,,fgh,cdfghi,,,,,,,,b,,,,,abf,abcdfg,,abf,,,,,,,,,a,a,a,,,,a,,,,,,,,,,,
,Thriving high street and shopping areas,830,391,438,44,89,97,126,174,299,133,223,473,113,40,86,85,74,96,126,129,80,244,586,199,299,174,116,43,498,332,511,317,765,6,30,10,18,585,241,112,133,781,37,495,298,575,242,335,118,131,86,387,463,338,372,415
,,0.13,0.13,0.14,0.05,0.09,0.1,0.12,0.18,0.21,0.07,0.11,0.2,0.14,0.14,0.14,0.13,0.14,0.15,0.12,0.18,0.08,0.11,0.14,0.14,0.14,0.14,0.12,0.08,0.14,0.12,0.14,0.12,0.15,0.05,0.05,0.04,0.14,0.15,0.11,0.09,0.13,0.14,0.08,0.13,0.14,0.13,0.14,0.11,0.12,0.11,0.1,0.17,0.13,0.14,0.11,0.17
,,,,,,a,ag,abcg,abcdgh,abcdgh,,abg,abcdgh,i,i,i,i,i,i,i,acdegi,,,a,e,eg,e,e,,eg,e,b,,bcd,,,,bcd,bc,,,c,b,,,,,,,,,,abcd,,,,a
,Improved access to affordable housing,800,331,466,101,145,126,144,115,169,246,270,284,98,31,74,71,57,94,151,91,133,241,559,170,283,161,130,56,453,347,472,322,675,13,68,38,3,503,290,157,153,731,58,473,302,567,223,383,123,144,115,303,471,304,447,311
,,0.13,0.11,0.15,0.12,0.14,0.13,0.14,0.12,0.12,0.13,0.13,0.12,0.12,0.1,0.12,0.11,0.1,0.15,0.15,0.13,0.14,0.11,0.14,0.12,0.14,0.13,0.14,0.1,0.13,0.13,0.13,0.12,0.13,0.1,0.12,0.16,0.03,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12
,,,,a,,,,,,,,,,,,,,,de,de,,,,a,,,,,,,,,,e,,,be,,,,,,,,,,,,,,,,,,,,
,Better quality homes,431,223,206,67,97,86,48,53,81,163,134,135,52,18,35,62,32,38,65,43,86,184,247,88,152,83,65,44,240,191,255,171,322,12,57,22,12,268,158,98,78,390,28,279,137,323,104,231,49,109,73,151,248,171,251,168
,,0.07,0.07,0.06,0.08,0.09,0.09,0.05,0.06,0.06,0.09,0.07,0.06,0.06,0.06,0.06,0.1,0.06,0.06,0.06,0.06,0.09,0.09,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.1,0.1,0.09,0.09,0.07,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.05,0.09,0.08,0.06,0.07,0.07,0.07,0.07
,,,,,dei,defhi,defhi,,,,defhi,d,,,,,acefgh,,,,,acefgh,b,,,,,,,,,,,,a,a,a,,,,,,,,,,,,b,,be,b,,,,,
,Improved social care,414,196,215,56,55,53,81,70,99,111,135,169,42,20,40,38,41,55,64,53,61,138,276,95,136,89,55,39,231,183,242,168,334,8,43,14,13,260,150,70,75,372,41,271,134,304,105,219,76,78,65,143,258,143,225,177
,,0.07,0.07,0.07,0.07,0.05,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.05,0.07,0.07,0.06,0.07,0.09,0.06,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.08,0.06,0.1,0.06,0.07,0.06,0.07,0.07,0.08,0.07,0.06,0.07,0.06,0.07,0.08,0.06,0.07,0.06,0.07,0.06,0.06,0.07
,,,,,,,,bcg,bc,,,,bc,,,,,,ad,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Improved youth facilities,412,189,223,62,80,80,66,53,71,141,146,124,58,16,33,36,35,43,89,36,66,131,281,96,124,90,59,43,220,192,225,180,320,13,43,18,16,267,137,83,62,374,27,254,146,321,86,231,69,82,81,129,259,143,248,153
